linha_clinica_global,principio_ativo,marcas_global,qtd_skus_global,qtd_entradas_global,preco_global_ultimo_r_un,preco_global_media_r_un,preco_global_mediana_r_un,preco_global_min_r_un,preco_global_max_r_un,global_dt_ultima_entrada,unimed_cod_item,unimed_desc_depara,unimed_desc_item,unimed_unidade_venda,preco_unimed_vl_medio_r_un,unimed_prev_mes_qtd,unimed_prev_mes_rs,unimed_abc,unimed_politica,gap_pct_ultimo_global_vs_unimed,gap_pct_media_global_vs_unimed,gap_pct_mediana_global_vs_unimed,gap_rs_ultimo_global_menos_unimed,economia_pot_mensal_rs_ultimo,depara_origem,depara_confianca,preco_unimed_normalizado_r_un,economia_pot_mensal_rs_mediana,oportunidade_mensal_rs,risco_mensal_rs,depara_ok_preco,flags_revisao,fonte_preco_global,fonte_preco_unimed
EQUIPO NUTRICAO ENTERAL LSLIP,PRODUTOS PARA SAUDE,['DESCARPACK'],1,1,0.764383,0.764383,0.764383,0.764383,0.764383,2025-08-14,87953,"equipo macro nutricao enteral 1,20m ls 1802p ","equipo macro nutricao enteral 1,20m ls 1802p ",Unidade,2.0,1008.4,2016.8,A,ITENS VOLUMOSOS,-61.8,-61.8,-61.8,-1.2356,-1246.0,llm,0.95,2.0,-1246.0,1246.0,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
EQUIPO NUTRICAO ENTERAL CONECT ESCALON,PRODUTOS PARA SAUDE,"['BIOMASS BRASIL', 'DESCARPACK', 'TKL']",3,3,0.73225,0.7941039999999999,0.818983,0.73225,0.831079,2026-03-05,87953,"equipo macro nutricao enteral 1,20m ls 1802p ","equipo macro nutricao enteral 1,20m ls 1802p ",Unidade,2.0,1008.4,2016.8,A,ITENS VOLUMOSOS,-63.4,-60.3,-59.1,-1.2678,-1278.4,llm,0.8,2.0,-1190.94,1190.94,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ELETRODO 2223BR,PRODUTOS PARA SAUDE,['3M'],1,1,0.446125,0.446125,0.446125,0.446125,0.446125,2026-02-12,87515,eletrodo descartavel adulto,eletrodo descartavel adulto,Unidade,0.18,11157.3,2008.3139999999999,A,MATERIAIS,147.8,147.8,147.8,0.2661,2969.24,llm,0.9,0.18,2969.24,0.0,2969.24,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ELETRODO DESC ECG ADULTO,PRODUTOS PARA SAUDE,"['DESCARPACK', 'MAXICOR']",2,2,0.164106,0.1659295,0.1659295,0.164106,0.167753,2026-01-06,87515,eletrodo descartavel adulto,eletrodo descartavel adulto,Unidade,0.18,11157.3,2008.3139999999999,A,MATERIAIS,-8.8,-7.8,-7.8,-0.0159,-177.33,llm,0.9,0.18,-156.99,156.99,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ELETRODO DESC ECG ADULTO/INFANTIL,PRODUTOS PARA SAUDE,"['CIEX', 'MEDPEX']",2,2,0.18234,0.1747425,0.1747425,0.167145,0.18234,2025-07-24,87515,eletrodo descartavel adulto,eletrodo descartavel adulto,Unidade,0.18,11157.3,2008.3139999999999,A,MATERIAIS,1.3,-2.9,-2.9,0.0023,26.11,llm,0.82,0.18,-58.66,58.66,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ELETRODO DESC ECG ADULTO PREMIUM,PRODUTOS PARA SAUDE,['MAXICOR'],1,1,0.167145,0.167145,0.167145,0.167145,0.167145,2026-01-26,87515,eletrodo descartavel adulto,eletrodo descartavel adulto,Unidade,0.18,11157.3,2008.3139999999999,A,MATERIAIS,-7.1,-7.1,-7.1,-0.0129,-143.43,llm,0.86,0.18,-143.43,143.43,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA CIRURGICA 8.0 C/PO,PRODUTOS PARA SAUDE,"['BE CARE', 'LEMGRUBER', 'MUCAMBO', 'SANRO']",8,8,1.37,1.9251975,0.9643999999999999,0.90026,7.5824,2026-05-14,87530,"luva cirurgica esteril nº 8,0","luva cirurgica esteril nº 8,0",Par.,1.43,1392.3,1990.9889999999998,B,ITENS VOLUMOSOS,-4.2,34.6,-32.6,-0.06,-83.54,llm,0.8,1.43,-648.25,648.25,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SONDA ASP TRAQUEAL S/VALVULA NR.10,PRODUTOS PARA SAUDE,['MEDSONDA'],1,1,0.910857,0.910857,0.910857,0.910857,0.910857,2023-04-14,87554,sonda aspiracao traqueal siliconizada n° 10,sonda aspiracao traqueal siliconizada n° 10,Unidade,0.52,3821.1,1986.972,B,MATERIAIS,75.2,75.2,75.2,0.3909,1493.5,llm,1.0,0.52,1493.5,0.0,1493.5,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
OXACILINA SODICA ( 500MG PO LIOF INJ),OXACILINA SODICA,"['BLAU', 'NOVAFARMA']",4,4,3.6,3.04,3.2,2.16,3.6,2026-05-11,87071,oxacilina 500 mg po liof inj fa,oxacilina 500 mg po liof inj fa,Frasco Ampola,4.04,488.9,1975.156,C,MEDICAMENTOS,-10.9,-24.8,-20.8,-0.44,-215.12,llm,1.0,4.04,-410.68,410.68,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE DEXMEDETOMIDINA (100MCG/ML INJETAVEL IV 2ML) C1,CLORIDRATO DE DEXMEDETOMIDINA,"['AUROBINDO', 'CRISTALIA', 'EUGIA', 'TEUTO', 'VOLPHARMA FARMACEUTICA']",6,6,5.7,9.0665,7.6,5.7,15.2343,2026-04-10,86699,dexmedetomidina 100 mcg/ml sol inj fa 2 ml,dexmedetomidina 100 mcg/ml sol inj fa 2 ml,Frasco Ampola,7.68,250.0,1920.0,C,MEDICAMENTOS,-25.8,18.1,-1.0,-1.98,-495.0,llm,1.0,7.68,-20.0,20.0,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
MORFINA (1 MG/ML SOLUCAO INJETAVEL 2 ML) A1,MORFINA,['CRISTALIA'],1,1,5.65,5.65,5.65,5.65,5.65,2025-12-03,87005,morfina 1 mg/ml sol inj amp 2 ml embalagem esteril,morfina 1 mg/ml sol inj amp 2 ml embalagem esteril,Ampola,7.22,264.9,1912.5779999999997,C,MEDICAMENTOS,-21.7,-21.7,-21.7,-1.57,-415.89,llm,1.0,7.22,-415.89,415.89,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"AMOXICILINA SODICA+CLAVULANATO DE POTASSIO (1000,0 + 200,0MG  PO SOL INJ IV FA)
",AMOXICILINA SODICA+CLAVULANATO DE POTASSIO,"['BLAU', 'EUROFARMA', 'FRESENIUS']",3,3,10.5,9.553333333333333,9.66,8.5,10.5,2025-09-09,86471,amoxicilina + clavulanato de potássio 1 g + 200 mg po liof inj fa,amoxicilina + clavulanato de potássio 1 g + 200 mg po liof inj fa,Frasco Ampola,11.01,170.0,1871.7,C,MEDICAMENTOS,-4.6,-13.2,-12.3,-0.51,-86.7,llm,1.0,11.01,-229.5,229.5,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
AMOXICILINA SODICA+CLAVULANATO DE POTASSIO (1000 + 200MG PO PARA SOLUCAO INJETAVEL IV FA),AMOXICILINA SODICA+CLAVULANATO DE POTASSIO,"['BLAU', 'EUGIA']",2,2,8.3,8.525,8.525,8.3,8.75,2025-12-30,86471,amoxicilina + clavulanato de potássio 1 g + 200 mg po liof inj fa,amoxicilina + clavulanato de potássio 1 g + 200 mg po liof inj fa,Frasco Ampola,11.01,170.0,1871.7,C,MEDICAMENTOS,-24.6,-22.6,-22.6,-2.71,-460.7,llm,1.0,11.01,-422.45,422.45,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"FOSFOMICINA TROMETAMOL (5,631G GRANULADO PARA SOLUCAO ORAL)",FOSFOMICINA TROMETAMOL,['PHARMASCIENCE '],2,2,20.5,21.25,21.25,20.5,22.0,2024-09-02,86588,"fosfomicina, trometamol 5,631 g env 8g","fosfomicina, trometamol 5,631 g env 8g",Envelope,35.52,50.1,1779.5520000000001,C,MEDICAMENTOS,-42.3,-40.2,-40.2,-15.02,-752.5,llm,1.0,35.52,-714.93,714.93,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
EVEROLIMO (5MG COMPRIMIDO),EVEROLIMO,"['DR REDDYS', 'NATCOFARMA', 'NOVARTIS']",4,4,70.535714,109.26204125000001,81.9345235,45.308929,227.870189,2025-07-08,115315,everolimo 5 mg,everolimo 5 mg,Comprimido,70.16,25.2,1768.032,C,EXCEPCIONAL,0.5,55.7,16.8,0.3757,9.47,llm,1.0,70.16,296.72,0.0,296.72,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ESPARADRAPO 10X4.5 BRANCO ADPELE,PRODUTOS PARA SAUDE,['MISSNER'],1,1,7.65,7.65,7.65,7.65,7.65,2025-07-16,87524,"esparadrapo impermeavel 10cm x 4,5m","esparadrapo impermeavel 10cm x 4,5m",Rolo,7.51,234.8,1763.348,B,MATERIAIS,1.9,1.9,1.9,0.14,32.87,llm,0.95,7.51,32.87,0.0,32.87,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ESPARADRAPO 10X4.5 BRANCO,PRODUTOS PARA SAUDE,"['CIEX', 'MISSNER', 'NEOPLAST']",3,3,5.844466,7.198155333333332,7.3,5.844466,8.45,2026-03-05,87524,"esparadrapo impermeavel 10cm x 4,5m","esparadrapo impermeavel 10cm x 4,5m",Rolo,7.51,234.8,1763.348,B,MATERIAIS,-22.2,-4.2,-2.8,-1.6655,-391.07,llm,0.9,7.51,-49.31,49.31,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
NISTATINA+OXIDO DE ZINCO TOPICO (100.000UI+200MG/G POM),NISTATINA+OXIDO DE ZINCO,"['EMS', 'PRATI DONADUZZI']",2,2,6.82,6.66,6.66,6.5,6.82,2025-10-17,87033,nistatina 100.000 ui/g + óxido de zinco 200 mg/g pom derm bg 60g ,nistatina 100.000 ui/g + óxido de zinco 200 mg/g pom derm bg 60g ,Bisnaga,7.38,238.8,1762.344,C,MEDICAMENTOS,-7.6,-9.8,-9.8,-0.56,-133.73,fuzzy_alta,0.81,7.38,-171.94,171.94,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE ROPIVACAINA  (10MG/ML INJ EPIDURAL 20ML),CLORIDRATO DE ROPIVACAINA,"['CRISTALIA', 'TEUTO']",2,2,17.5,12.425,12.425,7.35,17.5,2025-01-07,87169,ropivacaina 10 mg/ml sol inj amp 20 ml embalagem esteril,ropivacaina 10 mg/ml sol inj amp 20 ml embalagem esteril,Ampola,27.76,62.3,1729.448,C,MEDICAMENTOS,-37.0,-55.2,-55.2,-10.26,-639.2,llm,0.95,27.76,-955.37,955.37,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"BUDESONIDA (0,25MG/ML SUSPENSAO PARA NEBULIZACAO FRASCO 2ML)",BUDESONIDA,['ASTRAZENECA'],2,2,6.673558,6.59615,6.59615,6.518742,6.673558,2025-08-12,86538,"budesonida 0,25 mg/ml sus p/ nebulizacao flac 2 ml","budesonida 0,25 mg/ml sus p/ nebulizacao flac 2 ml",Flaconete,8.19,208.4,1706.796,C,MEDICAMENTOS,-18.5,-19.5,-19.5,-1.5164,-316.03,llm,1.0,8.19,-332.16,332.16,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
GLICEROL (120MG/ML SOLUCAO RETAL 500ML),GLICEROL,['JP INDUSTRIA'],2,2,6.37,7.35,7.35,6.37,8.33,2025-07-14,87309,glicerina 12% sol ret c/ sonda 500 ml fr,glicerina 12% sol ret c/ sonda 500 ml fr,Frasco,9.58,175.8,1684.1640000000002,C,MATERIAIS,-33.5,-23.3,-23.3,-3.21,-564.32,llm,0.98,9.58,-392.03,392.03,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE CEFEPIMA (1G PO SOL INJ IM/IV FA),CLORIDRATO DE CEFEPIMA,"['BIOCHIMICO', 'EUGIA', 'TEUTO']",4,4,5.8,6.42,6.5,5.8,6.88,2026-04-15,86583,cefepima 1 g po liof inj fa,cefepima 1 g po liof inj fa,Frasco Ampola,6.62,254.1,1682.142,C,MEDICAMENTOS,-12.4,-3.0,-1.8,-0.82,-208.36,llm,1.0,6.62,-30.49,30.49,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"ATADURA CREPOM 10 X 1,8M 13F",PRODUTOS PARA SAUDE,"['AMED S/A', 'ECOMAX ']",2,2,0.381667,0.4325,0.4325,0.381667,0.483333,2026-02-11,87456,atadura crepom 10x180cm não estéril - embalagem individual,atadura crepom 10x180cm não estéril - embalagem individual,Rolo,1.23,1348.0,1658.04,B,MATERIAIS,-69.0,-64.8,-64.8,-0.8483,-1143.55,llm,1.0,1.23,-1075.03,1075.03,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ALGODAO HIDROFILO ROLO 500 GR,PRODUTOS PARA SAUDE,"['FAROL', 'POLAX']",2,2,11.25,11.75,11.75,11.25,12.25,2026-04-02,87452,algodao hidrofilo 500g ,algodao hidrofilo 500g ,Pacote,11.98,137.9,1652.0420000000001,B,MATERIAIS,-6.1,-1.9,-1.9,-0.73,-100.67,fuzzy_alta,0.87,11.98,-31.72,31.72,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
NITROGLICERINA INJETAVEL (5MG/ML INJ 5ML),NITROGLICERINA,['CRISTALIA'],1,1,28.0,28.0,28.0,28.0,28.0,2025-07-04,87040,nitroglicerina 5 mg/ml sol inj amp 10 ml,nitroglicerina 5 mg/ml sol inj amp 10 ml,Ampola,38.32,43.0,1647.76,C,MEDICAMENTOS,-26.9,-26.9,-26.9,-10.32,-443.76,llm,0.9,38.32,-443.76,443.76,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
NITROGLICERINA INJETAVEL (5MG/ML INJ 10ML),NITROGLICERINA,['CRISTALIA'],1,1,32.0,32.0,32.0,32.0,32.0,2025-07-04,87040,nitroglicerina 5 mg/ml sol inj amp 10 ml,nitroglicerina 5 mg/ml sol inj amp 10 ml,Ampola,38.32,43.0,1647.76,C,MEDICAMENTOS,-16.5,-16.5,-16.5,-6.32,-271.76,llm,1.0,38.32,-271.76,271.76,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"SULFATO DE MORFINA PENTAIDRATADO (10,0MG/ML INJ EPIDURAL/INTRATECAL/IV 1ML)
",MORFINA,"['CRISTALIA', 'HIPOLABOR', 'TEUTO']",3,3,1.45,1.6711,1.45,1.4433,2.12,2025-12-23,87007,morfina 10 mg/ml sol inj amp 1 ml,morfina 10 mg/ml sol inj amp 1 ml,Ampola,2.5,653.4,1633.5,C,MEDICAMENTOS,-42.0,-33.2,-42.0,-1.05,-686.07,llm,1.0,2.5,-686.07,686.07,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SIMETICONA (75MG/ML 15ML EMUSSAO ORAL),SIMETICONA,['EMS'],3,3,1.35,1.31,1.3,1.28,1.35,2025-09-24,83693,simeticona 75 mg/ml emu or fr 15 ml,simeticona 75 mg/ml emu or fr 15 ml,Frasco,1.59,1019.8,1621.482,C,MEDICAMENTOS,-15.1,-17.6,-18.2,-0.24,-244.75,llm,1.0,1.59,-295.74,295.74,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SACCHAROMYCES BOULARDII (200MG PO ORAL ENVELOPE 800MG),SACCHAROMYCES BOULARDII,"['FQM', 'LEGRAND']",4,4,3.1,2.9617637500000003,2.9534935,1.025,4.915068,2025-10-02,101635,saccharomyces boulardii 200 mg sache,saccharomyces boulardii 200 mg sache,Envelope,3.65,433.64,1582.7859999999998,C,MEDICAMENTOS,-15.1,-18.9,-19.1,-0.55,-238.5,llm,0.95,3.65,-302.03,302.03,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LIDOCAINA (20MG/ML SOLUCAO INJETAVEL 20ML C/V),"CLORIDRATO DE LIDOCAINA, HEMITARTARATO DE EPINEFRINA","['CRISTALIA', 'HYPOFARMA']",2,2,7.0,5.6,5.6,4.2,7.0,2025-09-10,86930,lidocaina 2% (20 mg/ml) com vaso sol inj fa 20 ml embalagem esteril,lidocaina 2% (20 mg/ml) com vaso sol inj fa 20 ml embalagem esteril,Frasco Ampola,7.85,199.4,1565.29,C,MEDICAMENTOS,-10.8,-28.7,-28.7,-0.85,-169.49,llm,1.0,7.85,-448.65,448.65,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CATETER INTRAVENOSO 18G DISP SEG,PRODUTOS PARA SAUDE,"['DESCARPACK', 'LABOR IMPORT']",2,2,1.557002,1.428501,1.428501,1.3,1.557002,2025-08-13,87888,cateter intravenoso c/ dispositivo segurança 18g jelco,cateter intravenoso c/ dispositivo segurança 18g jelco,Unidade,3.21,487.0,1563.27,B,MATERIAIS,-51.5,-55.5,-55.5,-1.653,-805.01,llm,1.0,3.21,-867.59,867.59,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE REMIFENTANILA (2MG PO LIOF INJ ) A1,CLORIDRATO DE REMIFENTANILA,"['CRISTALIA', 'EUROFARMA']",2,2,11.0,12.9,12.9,11.0,14.8,2025-08-07,87156,remifentanila 2 mg po liof inj fa,remifentanila 2 mg po liof inj fa,Frasco Ampola,12.91,120.5,1555.655,C,MEDICAMENTOS,-14.8,-0.1,-0.1,-1.91,-230.16,llm,1.0,12.91,-1.2,1.2,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CEFTAZIDIMA INJETAVEL (1G PO IV/IM),CEFTAZIDIMA PENTAIDRATADA,"['BIOCHIMICO', 'BLAU']",2,2,13.4,13.06,13.06,12.72,13.4,2025-12-22,86317,ceftazidima 1 g po liof inj fa,ceftazidima 1 g po liof inj fa,Frasco Ampola,16.5,93.0,1534.5,C,MEDICAMENTOS,-18.8,-20.8,-20.8,-3.1,-288.3,llm,1.0,16.5,-319.92,319.92,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CAPECITABINA (500MG COMPRIMIDO REVESTIDO),CAPECITABINA,"['BERGAMO', 'BIOPAS', 'CRISTALIA ONCO', 'EMS ONCO', 'EUROFARMA ONCO']",6,6,2.33325,3.5101048333333336,2.416625,1.390213,9.603833,2026-04-07,106817,capecitabina 500 mg com rev,capecitabina 500 mg com rev,Comprimido,1.6,918.0,1468.8000000000002,C,EXCEPCIONAL CD,45.8,119.4,51.0,0.7332,673.12,llm,1.0,1.6,749.66,0.0,749.66,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CITRATO DE TAMOXIFENO (20MG CP REV),CITRATO DE TAMOXIFENO,"['BLAU', 'EMS ONCO', 'EUROFARMA ONCO', 'SANDOZ']",6,6,0.373,4.619000000000001,0.4121665,0.366667,25.6,2026-04-07,87222,tamoxifeno 20 mg com rev,tamoxifeno 20 mg com rev,Comprimido,0.41,3525.3,1445.373,C,EXCEPCIONAL CD,-9.0,1026.6,0.5,-0.037,-130.44,llm,0.98,0.41,7.64,0.0,7.64,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORIDRATO DE ONDANSETRONA DI-HIDRATADO (2MG/ML SOL INJ IV/IM AMPOLA 2ML),CLORIDRATO DE ONDANSETRONA DI-HIDRATADO,"['BLAU', 'CRISTALIA', 'FRESENIUS', 'HIPOLABOR', 'HYPOFARMA']",6,6,0.89,1.175,1.0,0.89,2.2,2025-12-23,87065,ondansetrona 2 mg/ml sol inj 2 ml amp,ondansetrona 2 mg/ml sol inj 2 ml amp,Ampola,0.99,1443.1,1428.6689999999999,C,MEDICAMENTOS,-10.1,18.7,1.0,-0.1,-144.31,llm,1.0,0.99,14.43,0.0,14.43,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
INSULINA GLARGINA (100UI/ML SOLUCAO INJETAVEL SC CARPULE 3ML) ,INSULINA GLARGINA,['BIOMM'],1,1,10.0,10.0,10.0,10.0,10.0,2023-03-28,114778,insulina glargina 100 u/ml sol inj refil 3 ml,insulina glargina 100 u/ml sol inj refil 3 ml,Carpule,121.32,11.67,1415.8044,C,MEDICAMENTOS,-91.8,-91.8,-91.8,-111.32,-1299.1,llm,1.0,121.32,-1299.1,1299.1,0.0,False,preco_depara_incompativel,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
BENZILPENICILINA BENZATINA (300.000UI/ML SUS INJ IM FA 4ML),PENICILINA G BENZATINA,"['EUROFARMA', 'TEUTO']",2,2,8.4,6.85,6.85,5.3,8.4,2026-02-12,86508,benzilpenicilina benzatina 1.200.000 ui sus inj im fa 4 ml benzetacil,benzilpenicilina benzatina 1.200.000 ui sus inj im fa 4 ml benzetacil,Frasco Ampola,8.76,158.4,1387.584,C,MEDICAMENTOS,-4.1,-21.8,-21.8,-0.36,-57.02,llm,1.0,8.76,-302.54,302.54,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"SULFADIAZINA DE PRATA (1% + 0,4% 120G TOPICO)",SULFADIAZINA DE PRATA+NITRATO DE CERIO,['CRISTALIA'],1,1,17.09,17.09,17.09,17.09,17.09,2023-05-23,87202,"sulfadiazina de prata 1% + nitrato de cerio 0,4% crem derm bg 50g","sulfadiazina de prata 1% + nitrato de cerio 0,4% crem derm bg 50g",Bisnaga,84.54,16.2,1369.548,C,MEDICAMENTOS,-79.8,-79.8,-79.8,-67.45,-1092.69,fuzzy_alta,0.82,84.54,-1092.69,1092.69,0.0,False,preco_depara_incompativel,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TEMOZOLOMIDA SOLIDO (100MG 42ML PO LIOF IV),TEMOZOLOMIDA,['SUN PHARMA'],4,4,24.47885,46.17369075,41.495425,10.396,91.307913,2025-12-30,104338,temozolomida 100 mg cap gel dura genérico,temozolomida 100 mg cap gel dura genérico,Cápsula,30.0,45.5,1365.0,C,EXCEPCIONAL,-18.4,53.9,38.3,-5.5211,-251.21,llm,0.95,30.0,523.04,0.0,523.04,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TEMOZOLOMIDA  (100MG CAP DURA),TEMOZOLOMIDA,"['CAMBER', 'EUROFARMA ONCO']",3,3,24.0,33.13333333333333,35.0,24.0,40.4,2026-04-08,104338,temozolomida 100 mg cap gel dura genérico,temozolomida 100 mg cap gel dura genérico,Cápsula,30.0,45.5,1365.0,C,EXCEPCIONAL,-20.0,10.4,16.7,-6.0,-273.0,llm,0.95,30.0,227.5,0.0,227.5,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
DIPROPIONATO DE BETAMETASONA+FOSFATO DISSODICO DE  INJETAVEL (5+2MG/ML INJ 1ML),DIPROPIONATO DE BETAMETASONA+FOSFATO DISSODICO DE BETAMETASONA,"['BRAINFARMA', 'COSMED', 'CRISTALIA', 'NEO QUIMICA']",4,4,3.5,4.68708275,4.4491665000000005,3.199999,6.649999,2025-09-29,86516,"betametasona, fosfato dissodico + betametasona, dipropionato  2 mg/ml + 5 mg/ml sus inj ser 1 ml","betametasona, fosfato dissodico + betametasona, dipropionato  2 mg/ml + 5 mg/ml sus inj ser 1 ml",Ampola,3.98,341.6,1359.568,C,MEDICAMENTOS,-12.1,17.8,11.8,-0.48,-163.97,llm,0.95,3.98,160.27,0.0,160.27,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA CIRURGICA 6.5 C/PO,PRODUTOS PARA SAUDE,"['BE CARE', 'LEMGRUBER', 'MUCAMBO', 'SANRO']",8,8,1.37,1.2922325,1.1154,0.90026,2.2,2026-04-06,87699,"luva cirurgica esteril nº 6,5","luva cirurgica esteril nº 6,5",Par.,1.46,916.8,1338.5279999999998,B,ITENS VOLUMOSOS,-6.2,-11.5,-23.6,-0.09,-82.51,llm,0.85,1.46,-315.93,315.93,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
COLETOR URINA 2L SIST FECHADO C/PONTO,PRODUTOS PARA SAUDE,"['DESCARPACK', 'TKL']",2,2,2.72,2.709402,2.709402,2.698804,2.72,2025-12-01,87499,coletor urina sistema fechado c/ valvula anti refluxo 2000ml,coletor urina sistema fechado c/ valvula anti refluxo 2000ml,Unidade,3.3,405.0,1336.5,B,MATERIAIS,-17.6,-17.9,-17.9,-0.58,-234.9,llm,0.95,3.3,-239.19,239.19,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
COLETOR URINA 2L SIST FECHADO S/PONTO,PRODUTOS PARA SAUDE,['DESCARPACK'],1,1,2.5975,2.5975,2.5975,2.5975,2.5975,2024-09-23,87499,coletor urina sistema fechado c/ valvula anti refluxo 2000ml,coletor urina sistema fechado c/ valvula anti refluxo 2000ml,Unidade,3.3,405.0,1336.5,B,MATERIAIS,-21.3,-21.3,-21.3,-0.7025,-284.51,llm,0.95,3.3,-284.51,284.51,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"AMPICILINA SODICO+SULBACTAM SODICO (3G SOLUCAO INJETAVEL IV/IM 6,4ML) ",AMPICILINA SODICA+SULBACTAM SODICO,"['AUROBINDO', 'BLAU', 'EUROFARMA', 'MYLAN', 'NOVAFARMA']",6,6,17.0,10.411111166666666,9.15,7.666667,17.0,2025-09-09,86477,ampicilina + sulbactam 2 g + 1 g po liof inj fa,ampicilina + sulbactam 2 g + 1 g po liof inj fa,Frasco Ampola,11.56,115.2,1331.712,C,MEDICAMENTOS,47.1,-9.9,-20.8,5.44,626.69,llm,0.95,11.56,-277.63,277.63,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TAMPA VEDANTE MACHO/FEMEA,PRODUTOS PARA SAUDE,['DESCARPACK'],1,1,0.131141,0.131141,0.131141,0.131141,0.131141,2024-09-17,87640,conector para luer macho e femea vedcap modelo 592559,conector para luer macho e femea vedcap modelo 592559,Unidade,0.24,5270.4,1264.896,B,MATERIAIS,-45.4,-45.4,-45.4,-0.1089,-573.73,llm,0.95,0.24,-573.73,573.73,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
