linha_clinica_global,principio_ativo,marcas_global,qtd_skus_global,qtd_entradas_global,preco_global_ultimo_r_un,preco_global_media_r_un,preco_global_mediana_r_un,preco_global_min_r_un,preco_global_max_r_un,global_dt_ultima_entrada,unimed_cod_item,unimed_desc_depara,unimed_desc_item,unimed_unidade_venda,preco_unimed_vl_medio_r_un,unimed_prev_mes_qtd,unimed_prev_mes_rs,unimed_abc,unimed_politica,gap_pct_ultimo_global_vs_unimed,gap_pct_media_global_vs_unimed,gap_pct_mediana_global_vs_unimed,gap_rs_ultimo_global_menos_unimed,economia_pot_mensal_rs_ultimo,depara_origem,depara_confianca,preco_unimed_normalizado_r_un,economia_pot_mensal_rs_mediana,oportunidade_mensal_rs,risco_mensal_rs,depara_ok_preco,flags_revisao,fonte_preco_global,fonte_preco_unimed
COMPRESSA GAZE 7.5X7.5 11F ESTERIL HERIKA,PRODUTOS PARA SAUDE,['AMED S/A'],1,1,0.4,0.4,0.4,0.4,0.4,2025-03-07,87500,"compressa de gaze 7,5 x 7,5 11 fios esteril (pct c/ 10 und ) ","compressa de gaze 7,5 x 7,5 11 fios esteril (pct c/ 10 und ) ",Pacote,0.43,44461.5,19118.445,A,ITENS VOLUMOSOS,830.2,830.2,830.2,0.357,-1333.84,fuzzy_alta,0.78,0.043,15872.76,0.0,15872.76,False,preco_depara_incompativel,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
COMPRESSA GAZE 7.5X7.5 9F ESTERIL HERIKA,PRODUTOS PARA SAUDE,['AMED S/A'],1,1,0.37,0.37,0.37,0.37,0.37,2026-02-27,87500,"compressa de gaze 7,5 x 7,5 11 fios esteril (pct c/ 10 und ) ","compressa de gaze 7,5 x 7,5 11 fios esteril (pct c/ 10 und ) ",Pacote,0.43,44461.5,19118.445,A,ITENS VOLUMOSOS,760.5,760.5,760.5,0.327,-2667.69,fuzzy_alta,0.79,0.043,14538.91,0.0,14538.91,False,preco_depara_incompativel,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
COMPRESSA GAZE 7.5X7.5 11F ESTERIL LIVIA,PRODUTOS PARA SAUDE,['AMED S/A'],1,1,0.37,0.37,0.37,0.37,0.37,2026-03-11,87500,"compressa de gaze 7,5 x 7,5 11 fios esteril (pct c/ 10 und ) ","compressa de gaze 7,5 x 7,5 11 fios esteril (pct c/ 10 und ) ",Pacote,0.43,44461.5,19118.445,A,ITENS VOLUMOSOS,760.5,760.5,760.5,0.327,-2667.69,fuzzy_alta,0.79,0.043,14538.91,0.0,14538.91,False,preco_depara_incompativel,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
COMPRESSA GAZE 7.5X7.5 13F ESTERIL HERIKA,PRODUTOS PARA SAUDE,['AMED S/A'],2,2,0.46,0.46,0.46,0.46,0.46,2025-10-13,87500,"compressa de gaze 7,5 x 7,5 11 fios esteril (pct c/ 10 und ) ","compressa de gaze 7,5 x 7,5 11 fios esteril (pct c/ 10 und ) ",Pacote,0.43,44461.5,19118.445,A,ITENS VOLUMOSOS,969.8,969.8,969.8,0.417,1333.85,fuzzy_alta,0.78,0.043,18540.45,0.0,18540.45,False,preco_depara_incompativel,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SEVOFLURANO (1ML/ML SOL INAL 100ML) C1,SEVOFLURANO,"['BIOCHIMICO', 'CRISTALIA', 'UNIAO QUIMICA']",4,4,155.0,149.68675000000002,151.8735,140.0,155.0,2025-03-26,87182,sevoflurano 1 ml/ml sol inal fr 100 ml,sevoflurano 1 ml/ml sol inal fr 100 ml,Frasco,159.56,118.5,18907.86,B,MEDICAMENTOS,-2.9,-6.2,-4.8,-4.56,-540.36,llm,1.0,159.56,-910.85,910.85,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SEVOFLURANO ( 1ML/MG SOL INAL 250ML) C1,SEVOFLURANO,"['BIOCHIMICO', 'CRISTALIA', 'UNIAO QUIMICA']",4,4,340.0,286.5,303.0,200.0,340.0,2025-09-09,87182,sevoflurano 1 ml/ml sol inal fr 100 ml,sevoflurano 1 ml/ml sol inal fr 100 ml,Frasco,159.56,118.5,18907.86,B,MEDICAMENTOS,113.1,79.6,89.9,180.44,21382.14,llm,0.95,159.56,16997.64,0.0,16997.64,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TENOXICAM INJETAVEL (40MG 2ML PO LIOF INJ ),TENOXICAM,"['CRISTALIA', 'UNIAO QUIMICA']",2,2,8.8,9.2,9.2,8.8,9.6,2024-10-09,87232,tenoxicam 40 mg po liof inj fa,tenoxicam 40 mg po liof inj fa,Frasco Ampola,7.08,2655.1,18798.108,B,MEDICAMENTOS,24.3,29.9,29.9,1.72,4566.77,llm,0.98,7.08,5628.81,0.0,5628.81,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
TENOCXICAM 40MG,TENOXICAM,['EUROFARMA'],1,1,7.4,7.4,7.4,7.4,7.4,2026-04-02,87232,tenoxicam 40 mg po liof inj fa,tenoxicam 40 mg po liof inj fa,Frasco Ampola,7.08,2655.1,18798.108,B,MEDICAMENTOS,4.5,4.5,4.5,0.32,849.63,llm,0.9,7.08,849.63,0.0,849.63,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV 500ML),CLORETO DE SODIO,"['EQUIPLEX', 'EUROFARMA', 'FARMARIN', 'FRESENIUS', 'HALEX ISTAR', 'JP INDUSTRIA']",8,8,3.05,4.06375,3.9000000000000004,3.0,6.22,2026-05-28,83663,"cloreto de sodio 0,9% 500 ml fr sistema fechado","cloreto de sodio 0,9% 500 ml fr sistema fechado",Frasco,4.5,3913.4,17610.3,B,"VOLUMOSOS - FRESEN, DICOPL, TAG",-32.2,-9.7,-13.3,-1.45,-5674.43,llm,1.0,4.5,-2348.04,2348.04,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CEFTRIAXONA (1G PO INJ IV FA),CEFTRIAXONA DISSODICA HEMIEPTAIDRATADA,"['BIOCHIMICO', 'BLAU', 'EUROFARMA', 'FRESENIUS', 'NEO QUIMICA', 'TEUTO']",7,7,3.3,3.7476714285714285,3.3,2.6382,6.0,2026-04-27,83653,ceftriaxona sodica 1 g iv/im po liof inj fa,ceftriaxona sodica 1 g iv/im po liof inj fa,Frasco Ampola,6.64,2604.7,17295.208,B,MEDICAMENTOS,-50.3,-43.6,-50.3,-3.34,-8699.7,fuzzy_alta,0.94,6.64,-8699.7,8699.7,0.0,True,,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
