linha_produto,cod_item,desc_global,score,method
FUROSEMIDA (10MG/ML SOLUCAO INJETAVEL 2ML) ,86590,furosemida 10 mg/ml sol inj amp 2 ml,0.86,fuzz_token_set
FUROSEMIDA (40MG COMPRIMIDO),83675,furosemida 40 mg com,0.97,fuzz_token_set
GABAPENTINA (300MG CAPSULA) C4,86591,gabapentina 300 mg cap dura,0.82,fuzz_token_set
GABAPENTINA (400MG CAPSULA) C1,86592,gabapentina 400 mg cap dura,0.82,fuzz_token_set
GANCICLOVIR (1MG/ML SOLUCAO INJETAVEL 100ML),86595,ganciclovir sodico 1 mg/ml sol inj bols 250ml,0.81,fuzz_token_set
GANCICLOVIR (1MG/ML SOLUCAO INJETAVEL 250ML),86595,ganciclovir sodico 1 mg/ml sol inj bols 250ml,0.93,fuzz_token_set
GANCICLOVIR (1MG/ML SOLUCAO INJETAVEL 500ML),86595,ganciclovir sodico 1 mg/ml sol inj bols 250ml,0.81,fuzz_token_set
GANCICLOVIR SODICO (500MG PO LIOFILIZADO PARA SOLUCAO PARA INFUSAO),86596,ganciclovir sodico 1 mg/ml sol inj bols 500 ml (500mg),0.67,fuzz_token_set
GARROTE COM TRAVA ADULTO AZUL,108872,fixador de canula de traqueostomia adulto,0.57,fuzz_token_set
GARROTE EM ROLO LATEX FREE 46CM,102362,gaze esteril em rolo 2m,0.59,fuzz_token_set
GARROTE EM TIRAS LATEX FREE 46CM C/25 UN,83780,palheta descartavel 7cm para cafe c/500 und,0.55,fuzz_token_set
GARROTE FLEBOTOMIA C/TRAVA ADULTO,84315,filtro hepa adulto,0.55,fuzz_token_set
GARROTE FLEBOTOMIA C/TRAVA INFANTIL,102358,gaze esteril pipoca infantil c/ 10 un,0.56,fuzz_token_set
GAZE TIPO QUEIJO 50X45 13F 480G ANE,115903,nestonutri 1 a 3 anos 800g,0.49,fuzz_token_set
GEFITINIBE (250MG COMPRIMIDO REVESTIDO),102396,nexium 20mg comprimido revestido,0.76,fuzz_token_set
GESTODENO+ETINILESTRADIOL (60+15 MCG COMPRIMIDO),86921,levotiroxina sodica 150 mcg com,0.6,fuzz_token_set
"GESTODENO+ETINILESTRADIOL SOLIDO (0,075+0,02MG)",102362,gaze esteril em rolo 2m,0.52,fuzz_token_set
GINKGO BILOBA (80MG CP REVESTIDO),102396,nexium 20mg comprimido revestido,0.61,fuzz_token_set
GLICEROL (120MG/ML SOLUCAO RETAL 500ML),111299,ciclolato 10mg/ml solução oftálmica estéril 5ml,0.69,fuzz_token_set
"GLICEROL 0,91G USO LACTENTE/INFANTIL",102358,gaze esteril pipoca infantil c/ 10 un,0.56,fuzz_token_set
GLICINATO DE ALUMÂ¿NIO+ACIDO ACETILSALICILICO+CARBONATO DE MAGNESIO (100MG COMPRIMIDO),86412, acido acetilsalicilico 100 mg com ,0.88,fuzz_token_set
GLICLAZIDA (30MG COMPRIMIDO LIBERACAO PROLONGADA),86600,gliclazida 30 mg com lib prol,0.75,fuzz_token_set
GLICLAZIDA (60MG COMPRIMIDO LIBERACAO PROLONGADA),86600,gliclazida 30 mg com lib prol,0.72,fuzz_token_set
GLICONATO DE CALCIO (100MG/ML SOLUCAO INJETAVEL 10ML),86601,gliconato de calcio 10% (100 mg/ml) sol inj amp 10 ml,0.87,fuzz_token_set
GLICOSE (10% SOLUCAO INJETAVEL 1000ML),83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.84,fuzz_token_set
GLICOSE (10% SOLUCAO INJETAVEL IV 500ML),83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.8,fuzz_token_set
GLICOSE (100MG/ML SOLUCAO PARA INFUSAO IV SISTEMA FECHADO 500 ML),87312,glicose 5% 500 ml fr sistema fechado,0.92,fuzz_token_set
GLICOSE (25% SOLUCAO INJETAVEL IV 10ML),83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.73,fuzz_token_set
GLICOSE (5% SOLUCAO INJETAVEL IV 250ML),86720,dimenidrinato + piridoxina + glicose + frutose 3 mg + 5 mg + 100 mg + 100 mg inj iv 10 ml amp,0.76,fuzz_token_set
GLICOSE (5% SOLUCAO INJETAVEL IV 500ML),86720,dimenidrinato + piridoxina + glicose + frutose 3 mg + 5 mg + 100 mg + 100 mg inj iv 10 ml amp,0.76,fuzz_token_set
GLICOSE (50% SOLUCAO INJETAVEL IV 10ML),83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.82,fuzz_token_set
GLICOSE (50% SOLUCAO INJETAVEL IV 20ML),83677,glicose 50% (500 mg/ml) sol inj amp 10 ml,0.82,fuzz_token_set
GLICOSE (50MG/ML SOL INJ IV FR SIST FECH 100 ML),87314,glicose 5% 100 ml fr sistema fechado,0.74,fuzz_token_set
GLICOSE (50MG/ML SOL INJ IV FR SIST FECH 1000ML),87314,glicose 5% 100 ml fr sistema fechado,0.72,fuzz_token_set
GLICOSE (50MG/ML SOLUCAO INJETAVEL IV SISTEMA FECHADO 250ML),87312,glicose 5% 500 ml fr sistema fechado,0.85,fuzz_token_set
"GLICOSE ANIDRA+CITRATO DE SODIO+CLORETO DE SODIO+ CLORETO DE POTASSIO 28,52G NATURAL ENVELOPE",86646,"potassio, cloreto de 60 mg/ml xpe or fr 100 ml",0.62,fuzz_token_set
GLICOSE+CLORETO DE SODIO INJETAVEL ( 59 MG/ML INJ 500ML),86649,"cloreto de sodio 0,9% (9 mg/ml) sol inj iv amp 10 ml",0.74,fuzz_token_set
GLIMEPIRIDA (1MG COMPRIMIDO),87031,nimesulida 100 mg com,0.7,fuzz_token_set
GLIMEPIRIDA (2MG COMPRIMIDO),87031,nimesulida 100 mg com,0.65,fuzz_token_set
GLIMEPIRIDA (4MG COMPRIMIDO),87184,simeticona 40 mg com,0.67,fuzz_token_set
HALOPERIDOL (1MG COMPRIMIDO) C1,86608,haloperidol 5 mg com,0.86,fuzz_token_set
HALOPERIDOL (2MG/ML SOL OR 20ML) (C1),86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.71,fuzz_token_set
HALOPERIDOL (2MG/ML SOL OR 30ML) C1,86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.71,fuzz_token_set
HALOPERIDOL (50MG/ML SOLUCAO INJETAVEL IM 1ML) C1,86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.85,fuzz_token_set
HALOPERIDOL (5MG COMPRIMIDO) C1,86608,haloperidol 5 mg com,0.9,fuzz_token_set
HALOPERIDOL (5MG/ML SOLUCAO INJETAVEL IM 1ML) C4,86609,haloperidol 5 mg/ml sol inj amp 1 ml im,0.86,fuzz_token_set
HEDERA HELIX L. LIQUIDO (7MG/ML SOLUCAO ORAL 100ML),110315,iopromida 370 (769mg/ml) sol inj fr 100ml (ultravist),0.58,fuzz_token_set
HEDERA HELIX L. LIQUIDO (7MG/ML SOLUCAO ORAL 200ML),84958,impact 200ml ,0.59,fuzz_token_set
"HEMIFUMARATO DE BISOPROLOL (1,25MG COMPRIMIDO REVESTIDO)",86526,bisoprolol 5 mg com rev,0.76,fuzz_token_set
"HEMIFUMARATO DE BISOPROLOL (2,5MG COMPRIMIDO REVESTIDO)",86525,"bisoprolol 2,5 mg com rev",0.78,fuzz_token_set
HEMIFUMARATO DE BISOPROLOL (5MG COMPRIMIDO REVESTIDO),86526,bisoprolol 5 mg com rev,0.76,fuzz_token_set
HEMIFUMARATO DE QUETIAPINA SOLIDO (100MG CP) C1,87143,quetiapina 25 mg com rev,0.59,fuzz_token_set
HEMIFUMARATO DE QUETIAPINA SOLIDO (200MG COMPRIMIDO) C1,87143,quetiapina 25 mg com rev,0.74,fuzz_token_set
HEMIFUMARATO DE QUETIAPINA SOLIDO (25MG COMPRIMIDO) C1,87143,quetiapina 25 mg com rev,0.74,fuzz_token_set
HEMITARTARATO DE METARAMINOL (10MG/ML SOL INJ IV/IM FA 1ML),86965,metaraminol 10 mg/ml sol inj amp 1 ml,0.79,fuzz_token_set
HEMITARTARATO DE NOREPINEFRINA MONOIDRATADA (SOL INJ 2MG/ML 4ML) ,83687,norepinefrina 2 mg/ml sol inj amp 4 ml,0.81,fuzz_token_set
HEMITARTARATO DE ZOLPIDEM (10MG CP REV  ),87308,"zolpidem, hemitartarato 5 mg com sl",0.79,fuzz_token_set
HEPARINA SÂ¿DICA SUÂ¿NA (5000UI/ML SOLUCAO INJETAVEL IV AMPOLA 5ML),83696,"heparina sódica 5000 ui/0,25 ml sol inj amp 0,25 ml",0.77,fuzz_token_set
"HEPARINA SÂ¿DICA SUÂ¿NA (5000UI/ML/0,25ML SOLUCAO INJETAVEL SUBCUTANEA AMPOLA 0,25ML)",83696,"heparina sódica 5000 ui/0,25 ml sol inj amp 0,25 ml",0.79,fuzz_token_set
HIALURONATO DE SODIO (10 MG/ML SOL INJ CT 3 SER PRENC VD INC X 2 ML),86614,"hialuronato de sódio 10 mg/ml sol inj ser preench 2,5 ml suprahyal",0.81,fuzz_token_set
HIDRALAZINA (20MG/ML SOLUCAO INJETAVEL IM/IV AMPOLA 1ML),86615,hidralazina 20 mg/ml sol inj im/iv amp 1 ml,0.96,fuzz_token_set
HIDRALAZINA (25MG COMPRIMIDO REVESTIDO),102396,nexium 20mg comprimido revestido,0.69,fuzz_token_set
HIDRALAZINA (50MG COMPRIMIDO REVESTIDO),102396,nexium 20mg comprimido revestido,0.69,fuzz_token_set
HIDROCLOROTIAZIDA (25MG COMPRIMIDO),86618,hidroclorotiazida 25 mg com,0.98,fuzz_token_set
HIDROCORTISONA (100MG PO LIOFILO PARA SOLUCAO INJETAVEL IV/IM),86620,hidrocortisona 500 mg po liof sol inj fa,0.78,fuzz_token_set
HIDROCORTISONA (500MG PO LIOFILO PARA SOLUCAO INJETAVEL IV/IM),86620,hidrocortisona 500 mg po liof sol inj fa,0.8,fuzz_token_set
HIDROCORTISONA+POLIMIXINA B+SULFATO DE NEOMICINA LIQUIDO (10000 UI+15 MG/ML SUSP OTO),87405,"neomicina, sulfato de + polimixina b, sulfato de + hidrocortisona 5 mg/ml + 10.000 ui/ml + 10 mg/ml susp oto fr 10 ml",0.92,fuzz_token_set
"HIDROXIDO DE ALUMINIO (61,5MG/ML SUSPENSAO ORAL 240ML)",87173,"hidroxido ferrico, sacarato de 20 mg/ml sol inj amp 5 ml",0.6,fuzz_token_set
HIDROXIDO DE POTASSIO (40% SOLUCAO 100ML),84210,"clorexidina 0,2% solução aquosa 100ml",0.59,fuzz_token_set
HIDROXIETILAMIDO INJETAVEL (60MG/ML 500ML INJ ),87310,hidroxietilamido 6% 500 ml fr ,0.81,fuzz_token_set
"HIDROXIQUINOLINA TROLAMINA (0,4MG/ML+140MG/ML SOL OTO  FR GOT 8 ML)",87118,nitrato de oxiconazol 10 mg/ml sol top fr got 20 ml,0.62,fuzz_token_set
HIDROXIUREIA (500MG CÂ¿PSULA DURA VIA ORAL) ,87399,hidroxiureia 500 mg cap dura tepev,0.83,fuzz_token_set
HIDROXIZINA (25MG COMPRIMIDO),86866,hidroxizina 25 mg com,0.98,fuzz_token_set
HIDRÃXIDO DE ALUMÃNIO,87905,anuscopio fechado,0.53,fuzz_token_set
HIPOCLORITO DE SODIO HOSPITALAR 1%  1 LI,84107,hipoclorito de sodio 1% 5l,0.94,fuzz_token_set
"HORMÂ¿NIO HIPÂ¿FISE (10MG/1.5ML SOL INJ)
",87238,tiamina 100 mg/ml sol inj 1 ml amp,0.66,fuzz_token_set
IBUPROFENO (100 MG/ML SUSPENSAO ORAL GOTAS 20ML),86870,ibuprofeno 100 mg/ml sus or fr got 20ml,0.85,fuzz_token_set
IBUPROFENO (400MG CAPSULA),86871,ibuprofeno 400 mg cap mole,0.87,fuzz_token_set
IBUPROFENO SOLIDO (CP/CAP/PO) ORAL,86871,ibuprofeno 400 mg cap mole,0.7,fuzz_token_set
"IFOSFAMIDA (1G PO LIOF INJ FRASCO 1,5G)",86583,cefepima 1 g po liof inj fa,0.65,fuzz_token_set
IFOSFAMIDA (2G PO LIOFILO PARA SOLUCAO INJETAVEL),87094,pantoprazol 40 mg po liof inj fa,0.64,fuzz_token_set
"IMIQUIMODE (50MG/ML CREME DERMATOLOGICO ENVELOPE 0,25G)",84900,envelope saco c/ timbre unimed tam. 25,0.54,fuzz_token_set
IMUNOGLOBULINA (5MG/ML SOL INJ FA 100ML),87130,imunoglobulina humana 5g sol inj fa 100 ml,0.88,fuzz_token_set
IMUNOGLOBULINA HUMANA (100MG/ML SOL INJ IV 50ML),87130,imunoglobulina humana 5g sol inj fa 100 ml,0.89,fuzz_token_set
IMUNOGLOBULINA HUMANA (50MG/ML SOL INJ IV 100ML USO ADULTO/PEDIATRICO) ,87130,imunoglobulina humana 5g sol inj fa 100 ml,0.86,fuzz_token_set
"INDAPAMIDA (1,5MG COMPRIMIDO)",92914,primidona 100 mg com,0.7,fuzz_token_set
"INDAPAMIDA (2,5MG COMPRIMIDO",87051,"olanzapina 2,5 mg com",0.73,fuzz_token_set
INSULINA GLARGINA (100UI/ML SOLUCAO INJETAVEL SC CARPULE 3ML) ,114778,insulina glargina 100 u/ml sol inj refil 3 ml,0.84,fuzz_token_set
INSULINA HUMANA (100UI/ML SUSPENSAO INJETAVEL SC FRASCO-AMPOLA 10ML),83682,insulina humana nph 100 ui/ml sus inj fa 10 ml,0.68,fuzz_token_set
INSULINA HUMANA REGULAR (100UI/ML SOLUÃÃO INJETÃVEL SUBCUTÃNEA 10ML),83683,insulina humana regular 100 ui/ml sol inj fa 10 ml,0.74,fuzz_token_set
IODOPOVIDONA (TINTURA 100ML),100387,tinta nanquim 10% 6ml ,0.57,fuzz_token_set
IODOPOVIDONA SOLUCAO AQUOSA 1 LITRO ,84210,"clorexidina 0,2% solução aquosa 100ml",0.62,fuzz_token_set
IODOPOVIDONA SOLUCAO COM TENSOATIVOS 1 LITRO ,87193,solucao oftalmica optive 15 ml,0.57,fuzz_token_set
IODOPOVIDONA SOLUCAO COM TENSOATIVOS 100ML,87193,solucao oftalmica optive 15 ml,0.58,fuzz_token_set
IODOPOVIDONA TOPICO PVPI 10% 1 LITRO DERMO SUAVE TOPICO,87217,"suxametonio, cloreto de 100 mg po liof inj fa",0.53,fuzz_token_set
ISOFLURANO (1MG/ML SOLUCAO INALATORIA 100ML) C1,87182,sevoflurano 1 ml/ml sol inal fr 100 ml,0.68,fuzz_token_set
ISOFLURANO (1MG/ML SOLUCAO INALATORIA 240ML) C1,87182,sevoflurano 1 ml/ml sol inal fr 100 ml,0.68,fuzz_token_set
ISOSSORBIDA (10MG COMPRIMIDO),92960,isossorbida 10mg/ml 1ml,0.89,fuzz_token_set
ISOSSORBIDA (10MG/ML SOLUCAO INJETAVEL 1ML),92960,isossorbida 10mg/ml 1ml,1.0,fuzz_token_set
ISOSSORBIDA (20MG COMPRIMIDO),83685,"isossorbida, mononitrato 20 mg com",0.86,fuzz_token_set
ISOSSORBIDA (5MG COMPRIMIDO),83685,"isossorbida, mononitrato 20 mg com",0.88,fuzz_token_set
ITRACONAZOL (100MG CAPSULA),92918,nitrofurantoína 100 mg cap,0.72,fuzz_token_set
IVABRADINA  (5MG COMPRIMIDO) ,87295,varfarina sodica 5 mg com,0.74,fuzz_token_set
KIT CIRURGICO GERAL ESTERIL,84113,kit cesarea cirurgico descartavel esteril,0.88,fuzz_token_set
KIT COLETA URINA 1 TB N.EST 12ML AMAR,87498,coletor urina sistema aberto 1200ml,0.64,fuzz_token_set
KIT COLETA URINA 2 TB EST 12ML AMAR/VERM,87498,coletor urina sistema aberto 1200ml,0.67,fuzz_token_set
KIT COLETA URINA 2 TB EST 12ML VERM,87498,coletor urina sistema aberto 1200ml,0.66,fuzz_token_set
KIT CONJUNTO DE COLORACAO GRAM,84114,kit de higiene,0.6,fuzz_token_set
KIT CONJUNTO DE COLORACAO ZIEHL NEELSEN,84114,kit de higiene,0.6,fuzz_token_set
L.ACIDOPHILUS+L.RHAMNOSUS+ L.PARACASEI+ B.LACTIS+FRUTOOLIGOSSACARÂ¿DEOS ( 6G ENV SACHE) ,86893,lactobacillos acidophillos + fruto-oligo 6g sache,0.58,fuzz_token_set
LACTATO DE BIPERIDENO INJETAVEL (SOL/SUSP/PO),86524,biperideno 2 mg com,0.69,fuzz_token_set
LACTATO DE SODIO+CLORETO DE POTASSIO+CLORETO DE SODIO (SOL INJ IV 1000ML),86649,"cloreto de sodio 0,9% (9 mg/ml) sol inj iv amp 10 ml",0.76,fuzz_token_set
LACTATO DE SODIO+CLORETO DE POTASSIO+CLORETO DE SODIO (SOL INJ IV 500ML),86649,"cloreto de sodio 0,9% (9 mg/ml) sol inj iv amp 10 ml",0.76,fuzz_token_set
LACTOFENOL AZUL DE ALGODAO 100ML,83885,saco de lixo azul 40l,0.64,fuzz_token_set
LACTULOSE (667MG/ML XAROPE 120ML SABOR AMEIXA),86897,lactulose 667 mg/ml xpe fr 120 ml,0.73,fuzz_token_set
LACTULOSE (667MG/ML XAROPE 120ML SEM SABOR),86897,lactulose 667 mg/ml xpe fr 120 ml,0.82,fuzz_token_set
LAMINA / LAMINULA DE VIDRO,87687,seringa de vidro 10ml,0.62,fuzz_token_set
LAMINA BISTURI 11 ACO INOX,87761,lamina de bisturi carbonada n° 11,0.79,fuzz_token_set
LAMINA BISTURI 12 ACO CARBONO,87761,lamina de bisturi carbonada n° 11,0.75,fuzz_token_set
LAMINA BISTURI 15 ACO CARBONO,87716,lamina de bisturi carbonada n° 15,0.79,fuzz_token_set
LAMINA BISTURI 15 ACO INOX,87772,lamina de bisturi carbonada nº 15 feather,0.79,fuzz_token_set
LAMINA BISTURI 22 ACO INOX,87773,lamina de bisturi carbonada n° 23,0.72,fuzz_token_set
LAMINA BISTURI 24 ACO INOX,87773,lamina de bisturi carbonada n° 23,0.72,fuzz_token_set
LAMINA DE BISTURI,87772,lamina de bisturi carbonada nº 15 feather,1.0,fuzz_token_set
LAMINA DE BISTURI N15,87772,lamina de bisturi carbonada nº 15 feather,0.89,fuzz_token_set
LAMOTRIGINA (100MG COMPRIMIDO) C1,86898,lamotrigina 100 mg com,0.91,fuzz_token_set
LAMOTRIGINA (25MG COMPRIMIDO) C1,86899,lamotrigina 25 mg com,0.91,fuzz_token_set
LAMOTRIGINA (50MG COMPRIMIDO) C1,86900,lamotrigina 50 mg com,0.91,fuzz_token_set
"LANCETA DE SEGURANÃA DESC SOFT 28G 1,8MM",88004,agulha descartavel 13x4 c/ dispositivo de segurança,0.53,fuzz_token_set
LANCETA DESC 28G EST C/DISP SEG,87745,lanceta descartavel p/ glicemia capilar c/ disposito de segurança,0.55,fuzz_token_set
LANCETA DESC 28G EST C/DISP SEG  XINLE,87745,lanceta descartavel p/ glicemia capilar c/ disposito de segurança,0.54,fuzz_token_set
LANCETADOR / LANCETA,87517,equipo p/ bi enteral enteralfix air tk ref. 402112p - ponta lanceta,0.56,fuzz_token_set
"LATANOPROSTA (0,05MG/ML SOL OFTALM FRASCO GOTA 2,5ML)",83684,"ipratropio, brometo 0,25 mg/ml sol inal fr got 20 ml",0.61,fuzz_token_set
"LATANOPROSTA+MALEATO DE TIMOLOL LIQUIDO ( 50MCG+5MG/ML 2,5ML)",116877,"golimumabe 50mg/0,5ml sol inj caneta 0,5 ml simponi",0.56,fuzz_token_set
"LETROZOL (2,5MG CP REV)",86904,"letrozol 2,5 mg com rev femara",0.8,fuzz_token_set
"LEUPRORRELINA (3,75MG PO LIOF SUS INJ IM FA USO ADULTO/PEDIATRICO)",86583,cefepima 1 g po liof inj fa,0.68,fuzz_token_set
"LEVETIRACETAM (100MG/ML SOL DIL INFUS IV FA 5ML) 
",86906,levetiracetam 100 mg/ml sol or fr 150 ml,0.72,fuzz_token_set
LEVETIRACETAM (250MG COMPRIMIDO REVESTIDO) C1,86907,levetiracetam 250 mg com rev,0.84,fuzz_token_set
LEVETIRACETAM (500MG COMPRIMIDO REVESTIDO) C1,116670,levetiracetam 500 mg com rev,0.84,fuzz_token_set
LEVETIRACETAM (750MG COMPRIMIDO REVESTIDO) C1,86907,levetiracetam 250 mg com rev,0.81,fuzz_token_set
"LEVOBUPIVACAINA (0,5% SOLUCAO INJETAVEL 20ML S/V)",86547,bupivacaina 5 mg/ml sem vaso sol inj fa 20 ml,0.72,fuzz_token_set
LEVODOPA+CARDIDOPA (250MG+25MG CP),86970,metildopa 250 mg com rev,0.54,fuzz_token_set
LEVOFLOXACINO HEMI-HIDRATADO (5MG/ML SOL INJ IV 100ML),86912,levofloxacino 5 mg/ml sol inj bols 100 ml,0.77,fuzz_token_set
LEVOFLOXACINO HEMI-HIDRATADO (5MG/ML SOL INJ IV 150ML),86912,levofloxacino 5 mg/ml sol inj bols 100 ml,0.77,fuzz_token_set
LEVOFLOXACINO INJETAVEL (5MG/ML INJ 100ML),86912,levofloxacino 5 mg/ml sol inj bols 100 ml,0.77,fuzz_token_set
LEVOFLOXACINO SOLIDO (500MG CP) ORAL,86912,levofloxacino 5 mg/ml sol inj bols 100 ml,0.67,fuzz_token_set
"LEVONORGESTREL (1,5MG COMPRIMIDO SIMPLES)",87337,"levonorgestrel 19,5 mg - diu kyleena",0.67,fuzz_token_set
"LEVOSIMENDANA (2,5MG/ML SOLUCAO INJETAVEL 5ML)",87065,ondansetrona 2 mg/ml sol inj 2 ml amp,0.7,fuzz_token_set
LIDOCAINA (1% SOLUCAO INJETAVEL 20ML S/V),86931,lidocaina 2% (20 mg/ml) sem vaso sol inj amp 5 ml,0.76,fuzz_token_set
LIDOCAINA (10% SPRAY TOPICO 50ML),86927,lidocaina 100 mg/ml fr spray 50 ml,0.75,fuzz_token_set
LIDOCAINA (10MG/ML SOLUCAO INJETAVEL 20ML S/VASO),86931,lidocaina 2% (20 mg/ml) sem vaso sol inj amp 5 ml,0.81,fuzz_token_set
LIDOCAINA (2% GEL SERINGA PREENCHIDA 10G),86928,lidocaina 2% gel bg 30g,0.81,fuzz_token_set
LIDOCAINA (2% SOLUCAO INJETAVEL 20ML S/V),86931,lidocaina 2% (20 mg/ml) sem vaso sol inj amp 5 ml,0.81,fuzz_token_set
LIDOCAINA (20MG/G OU 2% GEL TOPICO 30GRAMAS),86928,lidocaina 2% gel bg 30g,0.81,fuzz_token_set
LIDOCAINA (20MG/ML OU 2% SOLUCAO INJETAVEL 5ML S/V),86931,lidocaina 2% (20 mg/ml) sem vaso sol inj amp 5 ml,0.81,fuzz_token_set
LIDOCAINA (20MG/ML SOLUCAO INJETAVEL 20ML C/V),86931,lidocaina 2% (20 mg/ml) sem vaso sol inj amp 5 ml,0.75,fuzz_token_set
LIDOCAINA ISOBARICA (2% SOLUCAO INJETAVEL 5ML S/V),86931,lidocaina 2% (20 mg/ml) sem vaso sol inj amp 5 ml,0.68,fuzz_token_set
LIDOCAINA+PRILOCAINA TOPICO ( 50MG/G BG CR 5G),86928,lidocaina 2% gel bg 30g,0.71,fuzz_token_set
LINEZOLIDA (2MG/ML SOLUCAO INJETAVEL 300ML),83686,linezolida 2 mg/ml sol inj bols 300 ml,0.85,fuzz_token_set
LINEZOLIDA (600MG COMPRIMIDO),87031,nimesulida 100 mg com,0.73,fuzz_token_set
LOPERAMIDA (2MG COMPRIMIDO),86935,loperamida 2 mg com,0.97,fuzz_token_set
LORATADINA (10MG COMPRIMIDO),86937,loratadina 10 mg com,0.97,fuzz_token_set
LORATADINA (1MG/ML XAROPE FRASCO 100ML),86685,"desloratadina 0,5 mg/ml xpe fr 100 ml",0.68,fuzz_token_set
LORAZEPAM (2MG COMPRIMIDO) B5,86938,lorazepam 2 mg com,0.89,fuzz_token_set
LOSARTANA POTASSICA (50MG COMPRIMIDO),86941,losartana potássica 50 mg com rev,0.92,fuzz_token_set
LUVA CIRURGICA 6.5 C/PO,87699,"luva cirurgica esteril nº 6,5",0.88,fuzz_token_set
LUVA CIRURGICA 6.5 LATEX FREE,108060,"luva cirurgica esteril nº 7,5  s/ latex",0.86,fuzz_token_set
LUVA CIRURGICA 7.0 C/PO,87528,"luva cirurgica esteril nº 7,0",0.88,fuzz_token_set
LUVA CIRURGICA 7.5 C/PO,87529,"luva cirurgica esteril nº 7,5",0.88,fuzz_token_set
LUVA CIRURGICA 8.0 C/PO,87530,"luva cirurgica esteril nº 8,0",0.88,fuzz_token_set
LUVA CIRURGICA 8.5 C/PO,87727,"luva cirurgica esteril nº 8,5",0.88,fuzz_token_set
LUVA LATEX,87768,"luva cirurgica esteril nº 7,0  s/ latex",1.0,fuzz_token_set
LUVA LATEX PRO G C/ PO,88163,luva nitrilica s/ po azul tamanho g cx c/ 100,0.69,fuzz_token_set
LUVA LATEX PRO M C/ PO,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,0.69,fuzz_token_set
LUVA LATEX PRO P C/ PO,88161,luva nitrilica s/ po azul tamanho p cx c/ 100,0.69,fuzz_token_set
LUVA LATEX PROCEDIMENTO G C/PO,87531,luva de procedimento esteril tamanho m,0.72,fuzz_token_set
LUVA LATEX PROCEDIMENTO M C/PO,87531,luva de procedimento esteril tamanho m,0.78,fuzz_token_set
LUVA LATEX PROCEDIMENTO P C/PO,87531,luva de procedimento esteril tamanho m,0.72,fuzz_token_set
LUVA LATEX PROCEDIMENTO PP C/PO,87531,luva de procedimento esteril tamanho m,0.71,fuzz_token_set
LUVA NITRILICA,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,1.0,fuzz_token_set
LUVA NITRILICA PP S/PO AZUL,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,0.94,fuzz_token_set
LUVA PLASTICA TAMANHO UNICO ESTERIL,87531,luva de procedimento esteril tamanho m,0.73,fuzz_token_set
LUVA VINIL G S/PO,88163,luva nitrilica s/ po azul tamanho g cx c/ 100,0.79,fuzz_token_set
LUVA VINIL M C/PO,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,0.79,fuzz_token_set
LUVA VINIL M S/PO,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,0.79,fuzz_token_set
LUVA VINIL P S/PO,88161,luva nitrilica s/ po azul tamanho p cx c/ 100,0.79,fuzz_token_set
"MALEATO DE DEXCLORFENIRAMINA (0,4MG/ML SOL ORAL FRASCO 120ML)",86696,"dexclorfeniramina 0,4 mg/ml sol or fr 120 ml",0.8,fuzz_token_set
"MALEATO DE DEXCLORFENIRAMINA (0,4MG/ML XAROPE 100ML)",86696,"dexclorfeniramina 0,4 mg/ml sol or fr 120 ml",0.73,fuzz_token_set
"MALEATO DE DEXCLORFENIRAMINA (2MG CPR)
",86696,"dexclorfeniramina 0,4 mg/ml sol or fr 120 ml",0.68,fuzz_token_set
"MALEATO DE DEXCLORFENIRAMINA+BETAMETASONA (0,4MG/ML+0,05 MG/ML XPE 120 ML)",87115,"dexclorfeniramina 2 mg/5 ml + betametasona 0,25 mg/5 ml  xpe fr 120 ml",0.9,fuzz_token_set
MALEATO DE ENALAPRIL (10MG COMPRIMIDO),86750,enalapril 5 mg com,0.84,fuzz_token_set
MALEATO DE ENALAPRIL (20MG COMPRIMIDO),86750,enalapril 5 mg com,0.84,fuzz_token_set
MALEATO DE ENALAPRIL (5MG COMPRIMIDO),86750,enalapril 5 mg com,0.84,fuzz_token_set
MALEATO DE INDACATEROL,92737,indicador de limpeza atp,0.57,fuzz_token_set
"MALEATO DE METILERGOMETRINA (0,2MG/ML SOL INJ SC/IV/IM FA 1ML)",86972,"metilergometrina 0,2 mg/ml sol inj amp 1 ml",0.84,fuzz_token_set
MALEATO DE MIDAZOLAM SOLIDO (15MG COMPRIMIDO) B1,115305,midazolam 1 mg/ml sol inj amp 5 ml,0.66,fuzz_token_set
"MALEATO DE MIDAZOLAM SOLIDO (7,5MG COMPRIMIDO) B1",86995,midazolam 5 mg/ml sol inj amp 3 ml,0.62,fuzz_token_set
