linha_clinica_global,global_cod_produto,global_desc_produto,global_marca,principio_ativo,qtd_entradas_global,preco_global_ultimo_r_un,preco_global_media_r_un,preco_global_mediana_r_un,preco_global_min_r_un,preco_global_max_r_un,global_dt_ultima_entrada,unimed_cod_item,unimed_desc_depara,unimed_desc_item,unimed_un,preco_unimed_vl_medio_r_un,unimed_abc,unimed_prev_mes_rs,gap_pct_ultimo_global_vs_unimed,gap_rs_ultimo_global_menos_unimed,depara_origem,depara_confianca,fonte_preco_global,fonte_preco_unimed
HEMIFUMARATO DE QUETIAPINA SOLIDO (25MG COMPRIMIDO) C1,1351,QUETIAPINA 25 MG CP (C1) VP,CRISTALIA,HEMIFUMARATO DE QUETIAPINA,1,0.21,0.21,0.21,0.21,0.21,2024-10-09,87143,quetiapina 25 mg com rev,quetiapina 25 mg com rev,Comprimido,0.13,C,174.434,61.5,0.08,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
HEMIFUMARATO DE QUETIAPINA SOLIDO (25MG COMPRIMIDO) C1,1655,QUETIPIN 25 MG CP (C1),CRISTALIA,HEMIFUMARATO DE QUETIAPINA,1,0.17,0.17,0.17,0.17,0.17,2023-01-06,87143,quetiapina 25 mg com rev,quetiapina 25 mg com rev,Comprimido,0.13,C,174.434,30.8,0.04,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
HEMIFUMARATO DE QUETIAPINA SOLIDO (25MG COMPRIMIDO) C1,1608,QUETIAPINA 25 MG CP (C1),EMS,HEMIFUMARATO DE QUETIAPINA,1,0.13,0.13,0.13,0.13,0.13,2025-10-13,87143,quetiapina 25 mg com rev,quetiapina 25 mg com rev,Comprimido,0.13,C,174.434,0.0,0.0,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
HEMIFUMARATO DE QUETIAPINA SOLIDO (25MG COMPRIMIDO) C1,4936,TRACOX 25 MG CP (C1),FQM,HEMIFUMARATO DE QUETIAPINA,1,0.377128,0.377128,0.377128,0.377128,0.377128,2024-11-07,87143,quetiapina 25 mg com rev,quetiapina 25 mg com rev,Comprimido,0.13,C,174.434,190.1,0.2471,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
HEMIFUMARATO DE QUETIAPINA SOLIDO (25MG COMPRIMIDO) C1,3733,QUETIAPINA 25 MG 30 CP (C1),ZYDUS,HEMIFUMARATO DE QUETIAPINA,1,0.135,0.135,0.135,0.135,0.135,2024-08-12,87143,quetiapina 25 mg com rev,quetiapina 25 mg com rev,Comprimido,0.13,C,174.434,3.8,0.005,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ESPECULO VAGINAL DESC M ESTERILL,1956,ESPECULO VAGINAL DESC M ESTERIL,CRAL,PRODUTOS PARA SAUDE,1,1.212201,1.212201,1.212201,1.212201,1.212201,2023-06-20,87726,especulo vaginal descartavel (tam: m) esteril s/ lubrificante,especulo vaginal descartavel (tam: m) esteril s/ lubrificante,Unidade,1.37,C,173.99,-11.5,-0.1578,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ACETILCISTEINA (100MG/ML SOL INJ USO INTRAVENOSO/INALATÂ¿RIO AMPOLA 3ML),1436,FLUCISTEIN 100MG/ML INJ IV/INAL 3ML,UNIAO QUIMICA,ACETILCISTEINA,1,4.0,4.0,4.0,4.0,4.0,2023-07-28,83640,acetilcisteina 100 mg/ml sol inj amp 3 ml,acetilcisteina 100 mg/ml sol inj amp 3 ml,Ampola,2.62,C,173.182,52.7,1.38,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
DICLORIDRATO DE TRIMETAZIDINA  (35MG CP),2930,VASTAREL MR 35MG CP VP,SERVIER,DICLORIDRATO DE TRIMETAZIDINA,1,1.5408,1.5408,1.5408,1.5408,1.5408,2025-03-20,87277,trimetazidina 35 mg com rev,trimetazidina 35 mg com rev,Comprimido,2.45,C,170.03000000000003,-37.1,-0.9092,llm,0.95,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
GABAPENTINA (400MG CAPSULA) C1,5623,GABAPENTINA 400MG CP,BIOLAB,GABAPENTINA,1,0.339,0.339,0.339,0.339,0.339,2025-09-30,86592,gabapentina 400 mg cap dura,gabapentina 400 mg cap dura,Cápsula,0.83,C,169.154,-59.2,-0.491,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
GABAPENTINA (400MG CAPSULA) C1,4085,GABAPENTINA 400MG CAP (C1),EMS,GABAPENTINA,1,0.894667,0.894667,0.894667,0.894667,0.894667,2025-09-05,86592,gabapentina 400 mg cap dura,gabapentina 400 mg cap dura,Cápsula,0.83,C,169.154,7.8,0.0647,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ISOSSORBIDA (10MG/ML SOLUCAO INJETAVEL 1ML),188,CORONAR 10MG/ML INJ 1ML,BIOLAB,MONONITRATO DE ISOSSORBIDA,1,2.2,2.2,2.2,2.2,2.2,2024-04-12,92960,isossorbida 10mg/ml 1ml,isossorbida 10mg/ml 1ml,Ampola,2.91,C,169.07100000000003,-24.4,-0.71,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SACCHAROMYCES CEREVISIAE LIQUIDO (100MILHOES/ML SUS OR) ,1797,FLORAX 100 MILHOES/ML SUS OR ADULTO,HEBRON,SACCHAROMYCES CEREVISIAE,1,3.41191,3.41191,3.41191,3.41191,3.41191,2024-11-21,86810,saccharomyces cerevisiae 5 ml flac ped ,saccharomyces cerevisiae 5 ml flac ped ,Flaconete,3.6,C,167.4,-5.2,-0.1881,llm,0.8,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SACCHAROMYCES CEREVISIAE LIQUIDO (50MILHOES/ML 5ML),2249,FLORAX SM PED. 50 MILHOES/ML SUSP. 5ML,HEBRON,SACCHAROMYCES CEREVISIAE,1,2.69885,2.69885,2.69885,2.69885,2.69885,2023-04-11,86810,saccharomyces cerevisiae 5 ml flac ped ,saccharomyces cerevisiae 5 ml flac ped ,Flaconete,3.6,C,167.4,-25.0,-0.9011,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SACCHAROMYCES CEREVISIAE LIQUIDO (50MILHOES/ML 5ML),4892,FLORAX SM PED. 50 MILHOES/ML SUSP. 5ML,HEBRON,SACCHAROMYCES CEREVISIAE,1,2.847193,2.847193,2.847193,2.847193,2.847193,2024-12-05,86810,saccharomyces cerevisiae 5 ml flac ped ,saccharomyces cerevisiae 5 ml flac ped ,Flaconete,3.6,C,167.4,-20.9,-0.7528,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
HIDRALAZINA (25MG COMPRIMIDO REVESTIDO),5105,APRESOLINA 25MG CP REV,NOVARTIS,CLORIDRATO DE HIDRALAZINA,1,0.320433,0.320433,0.320433,0.320433,0.320433,2025-04-07,86616,hidralazina 25 mg drg,hidralazina 25 mg drg,Drágea,0.42,C,165.01799999999997,-23.7,-0.0996,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
HIDRALAZINA (25MG COMPRIMIDO REVESTIDO),5444,APRESOLINA 25MG CP REV X 60,UNIAO QUIMICA,HIDRALAZINA,1,0.320417,0.320417,0.320417,0.320417,0.320417,2025-10-21,86616,hidralazina 25 mg drg,hidralazina 25 mg drg,Drágea,0.42,C,165.01799999999997,-23.7,-0.0996,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"ATADURA CREPOM 12 X 1,8M 13F",2025,"ATADURA CREPOM 12 X 1,8M 13F EDUARDA",AMED S/A,PRODUTOS PARA SAUDE,1,0.6,0.6,0.6,0.6,0.6,2024-08-30,87777,atadura crepom 12x180cm não estéril - embalagem individual,atadura crepom 12x180cm não estéril - embalagem individual,Rolo,1.58,C,162.26600000000002,-62.0,-0.98,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"ATADURA DE CREPOM 12 X 1,8M 13 F ECOMAX",4631,"ATADURA CREPOM 12 X 1,8M 13F ECOMAX",ECOMAX ,PRODUTOS PARA SAUDE,1,0.458333,0.458333,0.458333,0.458333,0.458333,2026-01-07,87777,atadura crepom 12x180cm não estéril - embalagem individual,atadura crepom 12x180cm não estéril - embalagem individual,Rolo,1.58,C,162.26600000000002,-71.0,-1.1217,llm,0.95,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
PROGESTERONA SOLIDO (200MG CAP),1477,JUNNO 200MG CAP,FQM,PROGESTERONA,1,2.266655,2.266655,2.266655,2.266655,2.266655,2025-03-27,86857,progesterona 200 mg cap gel mole,progesterona 200 mg cap gel mole,Cápsula,2.66,C,161.728,-14.8,-0.3933,llm,0.95,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
PROGESTERONA SOLIDO (200MG CAP),4217,JUNNO 200MG CAP,FQM,PROGESTERONA,1,1.928514,1.928514,1.928514,1.928514,1.928514,2025-08-06,86857,progesterona 200 mg cap gel mole,progesterona 200 mg cap gel mole,Cápsula,2.66,C,161.728,-27.5,-0.7315,llm,0.95,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
BUTILBROMETO DE ESCOPOLAMINA (10MG COMPRIMIDO),3463,BUSCOPAN 10MG DR,COSMED,BUTILBROMETO DE ESCOPOLAMINA,1,0.3415,0.3415,0.3415,0.3415,0.3415,2025-09-23,86766,escopolamina 10 mg com rev,escopolamina 10 mg com rev,Comprimido,0.98,C,158.368,-65.2,-0.6385,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
NISTATINA TOPICO (25.000 UI/G CREM VAG),3550,NEO MISTATIN 25.000UI/G CR 60G VP,HYPERA,NISTATINA,1,25.66,25.66,25.66,25.66,25.66,2023-07-17,87035,nistatina 25.000 ui/g cr vag bg 60g,nistatina 25.000 ui/g cr vag bg 60g,Bisnaga,7.45,C,155.70499999999998,244.4,18.21,fuzzy_alta,0.83,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
NISTATINA TOPICO (25.000 UI/G CREM VAG),4594,NISTATINA 25.000 UI/G CREM VAG,NEO QUIMICA,NISTATINA,1,5.249917,5.249917,5.249917,5.249917,5.249917,2024-07-25,87035,nistatina 25.000 ui/g cr vag bg 60g,nistatina 25.000 ui/g cr vag bg 60g,Bisnaga,7.45,C,155.70499999999998,-29.5,-2.2001,fuzzy_alta,0.83,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
NISTATINA TOPICO (25.000 UI/G CREM VAG),4866,NISTATINA 25.000 UI/G CREM VAG,PRATI DONADUZZI,NISTATINA,1,5.0,5.0,5.0,5.0,5.0,2025-11-26,87035,nistatina 25.000 ui/g cr vag bg 60g,nistatina 25.000 ui/g cr vag bg 60g,Bisnaga,7.45,C,155.70499999999998,-32.9,-2.45,fuzzy_alta,0.83,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
