linha_clinica_global,global_cod_produto,global_desc_produto,global_marca,principio_ativo,qtd_entradas_global,preco_global_ultimo_r_un,preco_global_media_r_un,preco_global_mediana_r_un,preco_global_min_r_un,preco_global_max_r_un,global_dt_ultima_entrada,unimed_cod_item,unimed_desc_depara,unimed_desc_item,unimed_un,preco_unimed_vl_medio_r_un,unimed_abc,unimed_prev_mes_rs,gap_pct_ultimo_global_vs_unimed,gap_rs_ultimo_global_menos_unimed,depara_origem,depara_confianca,fonte_preco_global,fonte_preco_unimed
SUCCINATO DE RIBOCICLIBE (200MG COMPRIMIDO REV),5090,KISQALI 200MG CP REV CX 63 NAC,NOVARTIS,SUCCINATO DE RIBOCICLIBE,1,260.70836,260.70836,260.70836,260.70836,260.70836,2025-07-10,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,A,273949.69399999996,-2.8,-7.5016,fuzzy_alta,0.91,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SUCCINATO DE RIBOCICLIBE (200MG COMPRIMIDO REV),5091,KISQALI 200MG CP REV CX 42 CP,NOVARTIS,SUCCINATO DE RIBOCICLIBE,1,260.708571,260.708571,260.708571,260.708571,260.708571,2025-05-29,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,A,273949.69399999996,-2.8,-7.5014,fuzzy_alta,0.91,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SUCCINATO DE RIBOCICLIBE SOLIDO (200MG COMPRIMIDO),516,KISQALI 200 MG CP REV CX 63 IMP,NOVARTIS,SUCCINATO DE RIBOCICLIBE,1,254.102238,254.102238,254.102238,254.102238,254.102238,2024-12-11,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,A,273949.69399999996,-5.3,-14.1078,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SUCCINATO DE RIBOCICLIBE SOLIDO (200MG COMPRIMIDO),2449,KISQALI 200 MG CP,NOVARTIS,SUCCINATO DE RIBOCICLIBE,1,260.707143,260.707143,260.707143,260.707143,260.707143,2025-07-10,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,A,273949.69399999996,-2.8,-7.5029,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SUCCINATO DE RIBOCICLIBE SOLIDO (200MG COMPRIMIDO),2450,KISQALI 200 MG CP IMP,NOVARTIS,SUCCINATO DE RIBOCICLIBE,1,254.1025,254.1025,254.1025,254.1025,254.1025,2024-12-11,87197,succinato de ribociclibe 200 mg com rev kisqali,succinato de ribociclibe 200 mg com rev kisqali,Comprimido,268.21,A,273949.69399999996,-5.3,-14.1075,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
SECUQUINUMABE INJETAVEL (150MG SOL INJ SC CANETA 1ML) ,4118,COSENTYX 150MG SOL INJ SC CAN 1 ML,NOVARTIS,SECUQUINUMABE,1,3968.566667,3968.566667,3968.566667,3968.566667,3968.566667,2026-02-26,115805,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,Caneta,4471.5,A,190485.9,-11.2,-502.9333,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"SECUQUINUMABE INJETAVEL (75MG SOL INJ SC SER 0,5 ML)",4117,"COSENTYX 75MG SOL INJ SC SER 0,5 ML",NOVARTIS,SECUQUINUMABE,1,1987.28,1987.28,1987.28,1987.28,1987.28,2024-09-18,115805,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,secuquinumabe 150 mg/ml sol inj can 1 ml cosentyx,Caneta,4471.5,A,190485.9,-55.6,-2484.22,llm,0.8,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"OMALIZUMABE (75MG SOL INJ SC SER 0,5ML)
",4887,"XOLAIR 75MG SOL INJ SC SER 0,5ML",NOVARTIS,OMALIZUMABE,1,1253.375,1253.375,1253.375,1253.375,1253.375,2025-03-27,87107,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,Seringa,2822.8,A,153842.6,-55.6,-1569.425,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
OMALIZUMABE INJETAVEL (150MG SOL INJ SC SER 1ML),4119,XOLAIR 150MG SOL INJ SC SER 1 ML,NOVARTIS,OMALIZUMABE,1,2571.928,2571.928,2571.928,2571.928,2571.928,2026-01-21,87107,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,Seringa,2822.8,A,153842.6,-8.9,-250.872,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
OMALIZUMABE INJETAVEL (150MG SOL INJ SC SER 1ML),4252,XOLAIR 150 MG PO LIOF INJ SC + DIL 2 ML,NOVARTIS,OMALIZUMABE,1,2398.7955,2398.7955,2398.7955,2398.7955,2398.7955,2023-07-05,87107,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,omalizumabe 150 mg sol inj ser preenc 1 ml xolair ,Seringa,2822.8,A,153842.6,-15.0,-424.0045,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"OFATUMUMABE INJETAVEL ( 20MG/0,4 ML SOL INJ SC 0,4ML )",4063,"KESIMPTA 20 MG/0,4 ML SOL INJ SC 0,4ML",NOVARTIS,OFATUMUMABE,1,10640.04,10640.04,10640.04,10640.04,10640.04,2026-02-26,106981,"ofatumumabe 20 mg/0,4 ml can preen kesimpta","ofatumumabe 20 mg/0,4 ml can preen kesimpta",Caneta,12012.0,A,141741.6,-11.4,-1371.96,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ELTROMBOPAGUE OLAMINA  ( 50MG CP) ,1306,REVOLADE 50 MG CP,NOVARTIS,ELTROMBOPAGUE OLAMINA,1,287.507321,287.507321,287.507321,287.507321,287.507321,2025-07-15,86747,eltrombopague olamina 50 mg com rev revolade,eltrombopague olamina 50 mg com rev revolade,Comprimido,306.47,A,72939.86,-6.2,-18.9627,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ESILATO DE NINTEDANIBE (150MG CAP MOLE),5154,NIDHI 150MG CAP,SUN PHARMA,ESILATO DE NINTEDANIBE,1,225.0,225.0,225.0,225.0,225.0,2025-06-27,86771,esilato de nintedanibe 150 mg cap mole ofev,esilato de nintedanibe 150 mg cap mole ofev,Cápsula,197.25,A,68643.0,14.1,27.75,fuzzy_alta,0.92,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"CLORETO DE SODIO (0,9% SPRAY NASAL 100 ML)",4808,MARESIS BABY SOL SPRAY 100ML,FQM,CLORETO DE SODIO,1,18.0769,18.0769,18.0769,18.0769,18.0769,2025-06-12,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,416.5,14.5769,fuzzy_alta,0.82,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"CLORETO DE SODIO (0,9% SPRAY NASAL 100 ML)",4809,MARESIS AR SOL SPRAY 100ML,FQM,CLORETO DE SODIO,1,20.042067,20.042067,20.042067,20.042067,20.042067,2025-06-12,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,472.6,16.5421,fuzzy_alta,0.82,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"CLORETO DE SODIO (0,9% SPRAY NASAL 100 ML)",4814,MARESIS SOL SPRAY 100ML,FQM,CLORETO DE SODIO,1,16.434318,16.434318,16.434318,16.434318,16.434318,2025-03-13,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,369.6,12.9343,fuzzy_alta,0.82,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"CLORETO DE SODIO (0,9% SPRAY NASAL 100 ML)",3193,RINOSORO GTS 30ML,HYPERA,CLORETO DE SODIO,1,3.51,3.51,3.51,3.51,3.51,2024-05-10,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,0.3,0.01,fuzzy_alta,0.82,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"CLORETO DE SODIO (0,9% SPRAY NASAL JATO FORTE 100 ML)",4925,MARESIS JATO FORTE SPRAY 100 ML,FQM,CLORETO DE SODIO,1,20.50045,20.50045,20.50045,20.50045,20.50045,2025-06-12,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,485.7,17.0004,fuzzy_alta,0.75,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,5592,CLORETO DE SODIO 9MG/ML SOL INJ 100ML,ACULIFE,CLORETO DE SODIO,1,2.3,2.3,2.3,2.3,2.3,2026-04-01,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,-34.3,-1.2,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,5593,CLORETO DE SODIO 9MG/ML SOL INJ IV 250ML,ACULIFE,CLORETO DE SODIO,1,2.7,2.7,2.7,2.7,2.7,2025-10-21,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,-22.9,-0.8,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,387,CLORETO DE SODIO 9MG/ML SOL INJ 100ML,EQUIPLEX,CLORETO DE SODIO,1,2.2,2.2,2.2,2.2,2.2,2026-03-23,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,-37.1,-1.3,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,2946,CLORETO DE SODIO 9MG/ML SOL INJ 100ML,EUROFARMA,CLORETO DE SODIO,1,3.450001,3.450001,3.450001,3.450001,3.450001,2024-01-17,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,-1.4,-0.05,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,2936,CLORETO DE SODIO 9MG/ML SOL INJ 100ML,FARMACE,CLORETO DE SODIO,1,4.2,4.2,4.2,4.2,4.2,2023-01-07,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,20.0,0.7,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,3215,CLORETO DE SODIO 9MG/ML SOL INJ IV 100ML,FARMARIN,CLORETO DE SODIO,1,3.03,3.03,3.03,3.03,3.03,2023-12-08,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,-13.4,-0.47,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,4568,CLORETO DE SODIO 9MG/ML SOL INJ IV 100ML,FARMARIN,CLORETO DE SODIO,1,2.57,2.57,2.57,2.57,2.57,2025-04-17,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,-26.6,-0.93,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,437,CLORETO DE SODIO 9MG/ML SOL INJ IV 100ML,FRESENIUS,CLORETO DE SODIO,1,3.0,3.0,3.0,3.0,3.0,2024-03-11,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,-14.3,-0.5,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,4017,CLORETO DE SODIO 9MG/ML SOL INJ 100ML,HALEX ISTAR,CLORETO DE SODIO,1,2.6,2.6,2.6,2.6,2.6,2025-12-29,83660,"cloreto de sodio 0,9% 100 ml fr sistema fechado","cloreto de sodio 0,9% 100 ml fr sistema fechado",Frasco,3.5,A,66997.7,-25.7,-0.9,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
IMUNOGLOBULINA (5MG/ML SOL INJ FA 100ML),3953,IMUNOGLOBULINA 5MG/ML SOL INJ IV 100 ML,SHANDONG TAIBANG,IMUNOGLOBULINA HUMANA,1,1850.0,1850.0,1850.0,1850.0,1850.0,2023-07-06,87130,imunoglobulina humana 5g sol inj fa 100 ml,imunoglobulina humana 5g sol inj fa 100 ml,Frasco Ampola,1821.3,A,65202.53999999999,1.6,28.7,llm,0.8,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
IMUNOGLOBULINA HUMANA (50MG/ML SOL INJ IV 100ML USO ADULTO/PEDIATRICO) ,3979,PENTAGLOBIN 50MG/ML SOL INJ IV 100ML,BIOTEST,IMUNOGLOBULINA HUMANA,1,2000.0,2000.0,2000.0,2000.0,2000.0,2024-01-17,87130,imunoglobulina humana 5g sol inj fa 100 ml,imunoglobulina humana 5g sol inj fa 100 ml,Frasco Ampola,1821.3,A,65202.53999999999,9.8,178.7,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
IMUNOGLOBULINA HUMANA (50MG/ML SOL INJ IV 100ML USO ADULTO/PEDIATRICO) ,252,IMUNOGLOBULIN 50MG/ML SOL INJ IV 100 ML,BLAU,IMUNOGLOBULINA HUMANA,1,1755.7,1755.7,1755.7,1755.7,1755.7,2025-08-29,87130,imunoglobulina humana 5g sol inj fa 100 ml,imunoglobulina humana 5g sol inj fa 100 ml,Frasco Ampola,1821.3,A,65202.53999999999,-3.6,-65.6,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
IMUNOGLOBULINA HUMANA (50MG/ML SOL INJ IV 100ML USO ADULTO/PEDIATRICO) ,3019,BLAUIMUNO 50MG/ML SOL INJ IV 100ML ,BLAU,IMUNOGLOBULINA HUMANA,1,2330.0,2330.0,2330.0,2330.0,2330.0,2022-09-20,87130,imunoglobulina humana 5g sol inj fa 100 ml,imunoglobulina humana 5g sol inj fa 100 ml,Frasco Ampola,1821.3,A,65202.53999999999,27.9,508.7,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
IMUNOGLOBULINA HUMANA (50MG/ML SOL INJ IV 100ML USO ADULTO/PEDIATRICO) ,3656,IMUNOGLOBULINA 50MG/ML SOL INJ IV 100ML,HUALAN,IMUNOGLOBULINA HUMANA,1,1700.0,1700.0,1700.0,1700.0,1700.0,2023-01-05,87130,imunoglobulina humana 5g sol inj fa 100 ml,imunoglobulina humana 5g sol inj fa 100 ml,Frasco Ampola,1821.3,A,65202.53999999999,-6.7,-121.3,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
"TOXINA BOTULINICA ( 100 U PO LIOF SOL)
",4860,XEOMIN 100 U PO LIOF SOL INJ,BIOLAB,TOXINA BOTULINICA A,1,692.8101,692.8101,692.8101,692.8101,692.8101,2024-09-06,87261,toxina botulinica tipo a 100 u po liof inj fa botox,toxina botulinica tipo a 100 u po liof inj fa botox,Frasco Ampola,1155.3,A,64234.68,-40.0,-462.4899,fuzzy_alta,0.94,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA NITRILICA,620,LUVA NITRILICA M S/PO AZUL,DESCARPACK,PRODUTOS PARA SAUDE,1,0.13494,0.13494,0.13494,0.13494,0.13494,2025-08-21,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.1,-14.4451,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA NITRILICA,630,LUVA NITRILICA P S/PO AZUL,DESCARPACK,PRODUTOS PARA SAUDE,1,0.1656,0.1656,0.1656,0.1656,0.1656,2024-12-13,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-98.9,-14.4144,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA NITRILICA,631,LUVA NITRILICA G S/PO AZUL,DESCARPACK,PRODUTOS PARA SAUDE,1,0.13494,0.13494,0.13494,0.13494,0.13494,2025-08-25,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.1,-14.4451,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA NITRILICA,4521,LUVA NITRILICA M S/PO AZUL,LEMGRUBER,PRODUTOS PARA SAUDE,1,0.16146,0.16146,0.16146,0.16146,0.16146,2024-03-11,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-98.9,-14.4185,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA NITRILICA,4701,LUVA NITRILICA M S/PO AZUL,MEDIX,PRODUTOS PARA SAUDE,1,0.125988,0.125988,0.125988,0.125988,0.125988,2026-03-20,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.1,-14.454,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA NITRILICA,5180,LUVA NITRILICA G S/PO AZUL,MEDIX,PRODUTOS PARA SAUDE,1,0.125988,0.125988,0.125988,0.125988,0.125988,2026-03-20,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.1,-14.454,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA NITRILICA,5181,LUVA NITRILICA P S/PO AZUL,MEDIX,PRODUTOS PARA SAUDE,1,0.118627,0.118627,0.118627,0.118627,0.118627,2026-03-09,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.2,-14.4614,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA NITRILICA,3258,LUVA NITRILICA P S/PO AZUL ,VOLK DO BRASIL,PRODUTOS PARA SAUDE,1,0.1025,0.1025,0.1025,0.1025,0.1025,2022-09-22,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.3,-14.4775,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA NITRILICA,3259,LUVA NITRILICA G S/PO AZUL,VOLK DO BRASIL,PRODUTOS PARA SAUDE,1,0.1025,0.1025,0.1025,0.1025,0.1025,2022-09-22,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.3,-14.4775,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA NITRILICA,3260,LUVA NITRILICA M S/PO AZUL,VOLK DO BRASIL,PRODUTOS PARA SAUDE,1,0.085,0.085,0.085,0.085,0.085,2024-01-04,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.4,-14.495,llm,0.9,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA VINIL M C/PO,1126,LUVA VINIL M C/PO,DESCARPACK,PRODUTOS PARA SAUDE,1,0.107266,0.107266,0.107266,0.107266,0.107266,2024-09-17,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.3,-14.4727,fuzzy_alta,0.79,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA VINIL M S/PO,599,LUVA VINIL M S/PO,DESCARPACK,PRODUTOS PARA SAUDE,1,0.095385,0.095385,0.095385,0.095385,0.095385,2025-09-05,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.3,-14.4846,fuzzy_alta,0.79,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA VINIL M S/PO,2039,LUVA VINIL M S/PO,VOLK DO BRASIL,PRODUTOS PARA SAUDE,1,0.07021,0.07021,0.07021,0.07021,0.07021,2023-09-25,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.5,-14.5098,fuzzy_alta,0.79,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
LUVA VINIL M S/PO,4303,LUVA VINIL M S/PO,VOLK DO BRASIL,PRODUTOS PARA SAUDE,1,0.075373,0.075373,0.075373,0.075373,0.075373,2024-02-28,88162,luva nitrilica s/ po azul tamanho m cx c/ 100,luva nitrilica s/ po azul tamanho m cx c/ 100,Caixa,14.58,A,48123.7686,-99.5,-14.5046,fuzzy_alta,0.79,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
IMUNOGLOBULINA HUMANA (100MG/ML SOL INJ IV 50ML),4533,BIOGAM 100MG/ML SOL INJ IV 50ML,ASP FARMACEUTICA,IMUNOGLOBULINA HUMANA,1,1800.0,1800.0,1800.0,1800.0,1800.0,2025-06-18,86874,"imunoglobulina g 0,1 g/ml sol inj fras 50 ml endobulin kiovig","imunoglobulina g 0,1 g/ml sol inj fras 50 ml endobulin kiovig",Frasco Ampola,2389.1,A,45153.99,-24.7,-589.1,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
FOSFATO DE RUXOLITINIBE (20MG COMPRIMIDO),1825,JAKAVI 20 MG CP IMP,NOVARTIS,FOSFATO DE RUXOLITINIBE,1,428.03225,428.03225,428.03225,428.03225,428.03225,2024-10-29,86825,fosfato de ruxolitinibe 20 mg com jakavi,fosfato de ruxolitinibe 20 mg com jakavi,Comprimido,458.17,A,39860.79,-6.6,-30.1378,fuzzy_alta,0.92,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
FOSFATO DE RUXOLITINIBE (20MG COMPRIMIDO),5133,JAKAVI 20MG CP NAC,NOVARTIS,FOSFATO DE RUXOLITINIBE,1,444.425,444.425,444.425,444.425,444.425,2025-07-10,86825,fosfato de ruxolitinibe 20 mg com jakavi,fosfato de ruxolitinibe 20 mg com jakavi,Comprimido,458.17,A,39860.79,-3.0,-13.745,fuzzy_alta,0.92,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
FOSFATO DE RUXOLITINIBE SOLIDO (15MG COMPRIMIDO),1309,JAKAVI 15 MG CP,NOVARTIS,FOSFATO DE RUXOLITINIBE,1,444.425,444.425,444.425,444.425,444.425,2025-05-26,86825,fosfato de ruxolitinibe 20 mg com jakavi,fosfato de ruxolitinibe 20 mg com jakavi,Comprimido,458.17,A,39860.79,-3.0,-13.745,fuzzy_alta,0.82,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
NILOTINIBE SOLIDO ( 200MG CAP),1092,TASIGNA 200MG CAP,NOVARTIS,NILOTINIBE,1,144.520446,144.520446,144.520446,144.520446,144.520446,2025-05-09,87030,nilotinibe 200 mg cap dura tasigna,nilotinibe 200 mg cap dura tasigna,Cápsula,143.87,A,35449.568,0.5,0.6504,fuzzy_alta,0.75,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ERTAPENEM SODICO ( 1G PO LIOF SOL  IV/IM),3014,ERTAPENEM 1G PO LIOF SOL INJ IV/IM,AUROBINDO,ERTAPENEM SODICO,1,152.0,152.0,152.0,152.0,152.0,2023-12-08,86761,ertapenem sodico 1 g po liof inj fa,ertapenem sodico 1 g po liof inj fa,Frasco Ampola,175.24,B,35258.288,-13.3,-23.24,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ERTAPENEM SODICO ( 1G PO LIOF SOL  IV/IM),4658,ERTAPENEM 1G PO LIOF SOL INJ IV/IM,AUROBINDO,ERTAPENEM SODICO,1,138.0,138.0,138.0,138.0,138.0,2025-12-15,86761,ertapenem sodico 1 g po liof inj fa,ertapenem sodico 1 g po liof inj fa,Frasco Ampola,175.24,B,35258.288,-21.3,-37.24,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
ERTAPENEM SODICO ( 1G PO LIOF SOL  IV/IM),3789,ERTAPENEM 1G PO LIOF SOL INJ IV/IM,HALLER,ERTAPENEM SODICO,1,150.0,150.0,150.0,150.0,150.0,2023-04-10,86761,ertapenem sodico 1 g po liof inj fa,ertapenem sodico 1 g po liof inj fa,Frasco Ampola,175.24,B,35258.288,-14.4,-25.24,llm,1.0,global_df.csv (Global (distribuidor)),Curva ABC - CD 05.26.xlsx (Unimed)
