NUM_NOTA,DT_EMISSAO_NOTA,DT_ENTRADA,COD_PRODUTO,DESCRICAO_PRODUTO,MARCA,PRINCIPIO_ATIVO,LINHA_PRODUTO,CUSTO_ENTRADA,QT_ENTRADA,QT_ESTOQUE_ANTERIOR,CUSTO_MED_ANTERIOR,COD_FORNECEDOR,RAZAO_SOCIAL
39143,2025-04-30,2025-05-06,2625,CLORETO DE SODIO 200MG/ML SOL INJ 10ML,SAMTEC,CLORETO DE SODIO,CLORETO DE SODIO (200MG/ML SOL INJ 10ML),0.347,14600,0,0.36,719,SAMTEC BIOTECNOLOGIA LTDA
26822,2026-03-31,2026-04-01,5595,"CLORETO DE SODIO 0,9% 1000ML",ACULIFE,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ 1000ML),6.5,5004,0,6.8,2177,COPERMED COMERCIAL IMPORTADORA LTDA
74963,2025-08-29,2025-09-01,3267,CLORETO DE SODIO 9MG/ML SOL INJ 1000ML,EUROFARMA,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ 1000ML),7.333333,4140,45,6.6,864,EUROFARMA LABORATORIOS S.A.
259354,2025-07-30,2025-08-08,4949,CLORETO DE SODIO 9MG/ML SOL INJ IV 100ML,JP INDUSTRIA,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ 1000ML),2.5,700,0,2.65,314,JP INDUSTRIA FARMACEUTICA S/A
400965,2023-09-29,2023-10-06,2822,CLORETO DE SODIO 9MG/ML SOL INJ 1000ML,HALEX ISTAR,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ 1000ML),8.66,375,0,8.66,597,HALEX ISTAR INDUSTRIA FARMACEUTICA SA
134247,2025-08-26,2025-09-10,435,CLORETO DE SODIO 9MG/ML SOL INJ 1000ML,FRESENIUS,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ 1000ML),6.9,10240,16,6.8,969,FRESENIUS KABI BRASIL LTDA.
299591,2022-12-29,2023-01-07,2936,CLORETO DE SODIO 9MG/ML SOL INJ 100ML,FARMACE,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,4.2,1740,60,4.21,157,FARMACE - INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
69210,2024-01-05,2024-01-17,2946,CLORETO DE SODIO 9MG/ML SOL INJ 100ML,EUROFARMA,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,3.450001,21000,3420,3.45,864,EUROFARMA LABORATORIOS S.A.
421365,2025-04-08,2025-04-17,4568,CLORETO DE SODIO 9MG/ML SOL INJ IV 100ML,FARMARIN,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,2.57,40800,0,2.91,1161,FARMARIN INDUSTRIA E COMERCIO LTDA
454437,2025-12-22,2025-12-29,4017,CLORETO DE SODIO 9MG/ML SOL INJ 100ML,HALEX ISTAR,CLORETO DE SODIO,CLORETO DE SODIO (9MG/ML SOL INJ IV 100ML)  ,2.6,8200,11100,3.0,597,HALEX ISTAR INDUSTRIA FARMACEUTICA SA
