cod_produto,desc_unimed,linha_produto,principio_ativo,best_cod_item,best_desc_global,sim_desc,sim_linha,best_sim,sim_bin
229,GANCICLOTRAT 500 MG PO INJ C/DIL,GANCICLOVIR SODICO (500MG PO LIOFILIZADO PARA SOLUCAO PARA INFUSAO),GANCICLOVIR SODICO,86409,aciclovir 250 mg inj fa,0.6545454545454545,0.4634146341463415,0.6545454545454545,0.6-0.7
2987,GANCICLOVIR SODICO 500MG PO LIOF INJ,GANCICLOVIR SODICO (500MG PO LIOFILIZADO PARA SOLUCAO PARA INFUSAO),GANCICLOVIR SODICO,87102,parecoxibe sódico 40 mg po liof inj fa,0.7027027027027027,0.5567010309278351,0.7027027027027027,0.7-0.8
2719,GARROTE COM TRAVA ADULTO AZUL,GARROTE COM TRAVA ADULTO AZUL,PRODUTOS PARA SAUDE,102356,gaze esteril pipoca adulto c/ 10 un,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5-0.6
3236,GARROTE EM ROLO LATEX FREE 46CM,GARROTE EM ROLO LATEX FREE 46CM,PRODUTOS PARA SAUDE,87907,torniquete de látex (livre) c/ 25,0.5245901639344263,0.5245901639344263,0.5245901639344263,0.5-0.6
1917,GARROTE EM ROLO LATEX FREE 36CM,GARROTE EM TIRAS LATEX FREE 46CM C/25 UN,PRODUTOS PARA SAUDE,87907,torniquete de látex (livre) c/ 25,0.5245901639344263,0.5428571428571428,0.5428571428571428,0.5-0.6
4981,GARROTE EM TIRAS LATEX FREE 46CM C/25 UN,GARROTE EM TIRAS LATEX FREE 46CM C/25 UN,PRODUTOS PARA SAUDE,87907,torniquete de látex (livre) c/ 25,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.5-0.6
1874,GARROTE FLEBOTOMIA C/TRAVA ADULTO,GARROTE FLEBOTOMIA C/TRAVA ADULTO,PRODUTOS PARA SAUDE,92744,pote pet c/ tampa 4ml,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5-0.6
1984,GARROTE FLEBOTOMIA C/TRAVA INFANTIL,GARROTE FLEBOTOMIA C/TRAVA INFANTIL,PRODUTOS PARA SAUDE,92744,pote pet c/ tampa 4ml,0.509090909090909,0.509090909090909,0.509090909090909,0.5-0.6
2028,GAZE TIPO QUEIJO 50X45 13F 480G ANE,GAZE TIPO QUEIJO 50X45 13F 480G ANE,PRODUTOS PARA SAUDE,102356,gaze esteril pipoca adulto c/ 10 un,0.4927536231884058,0.4927536231884058,0.4927536231884058,<0.5
4397,TIMB 250MG CP,GEFITINIBE (250MG COMPRIMIDO REVESTIDO),GEFITINIBE,102396,nexium 20mg comprimido revestido,0.5641025641025641,0.75,0.75,0.7-0.8
3901,GEFITINIBE 250 MG CP VP,GEFITINIBE (250MG COMPRIMIDO REVESTIDO),GEFITINIBE,102396,nexium 20mg comprimido revestido,0.5306122448979592,0.75,0.75,0.7-0.8
