linha_produto,principio_ativo,n_skus,marcas,cod_item_fuzz_token_set,desc_fuzz_token_set,fuzz_token_set,cod_item_fuzz_token_sort,desc_fuzz_token_sort,fuzz_token_sort,cod_item_fuzz_wratio,desc_fuzz_wratio,fuzz_wratio,cod_item_tfidf,desc_tfidf,tfidf,cod_item_spacy,desc_spacy,spacy,score_mean,score_max,score_std,best_method,best_cod_item,best_desc_global
TORNEIRA 3 VIAS LUER LOCK,PRODUTOS PARA SAUDE,4,"['DESCARPACK', 'MEDIX', 'SEVEN CARE', 'TKL']",87621,torneira 3 vias luer lock,1.0,87621,torneira 3 vias luer lock,1.0,87621,torneira 3 vias luer lock,1.0,87621,torneira 3 vias luer lock,1.0000000000000002,87621,torneira 3 vias luer lock,1.0,1.0,1.0000000000000002,1.1102230246251565e-16,tfidf,87621,torneira 3 vias luer lock
PROBIATOP 1G SACHE,L. ACIDOPHILUS + L. RHAMNOSUS +  L. PARACASEI + B. LACTIS,1,['FQM'],87131,probiatop 1g sache,1.0,87131,probiatop 1g sache,1.0,87131,probiatop 1g sache,1.0,87131,probiatop 1g sache,1.0000000000000002,87131,probiatop 1g sache,1.0,1.0,1.0000000000000002,1.1102230246251565e-16,tfidf,87131,probiatop 1g sache
DIVALPROATO DE SODIO (500 MG COMPRIMIDO) (C1),DIVALPROATO DE SODIO,1,['ZYDUS'],92912,divalproato de sodio 500 mg com,1.0,92912,divalproato de sodio 500 mg com,0.95,92912,divalproato de sodio 500 mg com,0.95,92912,divalproato de sodio 500 mg com,0.9765250539528648,92912,divalproato de sodio 500 mg com,0.9676989912986755,0.968844809050308,1.0,0.02086383617338935,fuzz_token_set,92912,divalproato de sodio 500 mg com
ESPIRONOLACTONA (50MG COMPRIMIDO),ESPIRONOLACTONA,1,['EMS'],86775,espironolactona 50 mg com,0.98,86775,espironolactona 50 mg com,0.9,86775,espironolactona 50 mg com,0.98,86775,espironolactona 50 mg com,0.9550443320878501,86775,espironolactona 50 mg com,1.0,0.96300886641757,1.0,0.03866294174937289,spacy,86775,espironolactona 50 mg com
HIDROCLOROTIAZIDA (25MG COMPRIMIDO),HIDROCLOROTIAZIDA,3,"['EMS', 'HYPERA', 'NEO QUIMICA']",86618,hidroclorotiazida 25 mg com,0.98,86618,hidroclorotiazida 25 mg com,0.91,86618,hidroclorotiazida 25 mg com,0.98,86618,hidroclorotiazida 25 mg com,0.9393663675145657,86618,hidroclorotiazida 25 mg com,1.0,0.9618732735029131,1.0,0.036428700983772336,spacy,86618,hidroclorotiazida 25 mg com
CLOREXIDINA 2%  AQUOSA 100ML,CLOREXIDINA,1,['VIC PHARMA'],84210,"clorexidina 0,2% solução aquosa 100ml",1.0,84213,"clorexidina aquosa 0,2% 1000ml",0.95,84210,"clorexidina 0,2% solução aquosa 100ml",0.95,84213,"clorexidina aquosa 0,2% 1000ml",0.9260344613672471,84215,clorexidina degermante 2% 100ml,0.9776607751846313,0.9607390473103756,1.0,0.028560592781401852,fuzz_token_set,84210,"clorexidina 0,2% solução aquosa 100ml"
SINVASTATINA (10MG COMPRIMIDO REV) ,SINVASTATINA,4,"['EMS', 'PHARLAB', 'SANDOZ']",87185,sinvastatina 10 mg com rev,0.98,87185,sinvastatina 10 mg com rev,0.9,87185,sinvastatina 10 mg com rev,0.98,87185,sinvastatina 10 mg com rev,0.9398822201823555,87185,sinvastatina 10 mg com rev,1.0,0.9599764440364711,1.0,0.040014754436251805,spacy,87185,sinvastatina 10 mg com rev
ESPIRONOLACTONA (25MG COMPRIMIDO),ESPIRONOLACTONA,2,"['EMS', 'GEOLAB']",83671,espironolactona 25 mg com,0.98,83671,espironolactona 25 mg com,0.9,83671,espironolactona 25 mg com,0.98,83671,espironolactona 25 mg com,0.9384639753723185,83671,espironolactona 25 mg com,1.0,0.9596927950744636,1.0,0.04019741435227125,spacy,83671,espironolactona 25 mg com
"CARVEDILOL (12,5MG COMPRIMIDO)",CARVEDILOL,1,['EMS'],86575,"carvedilol 12,5 mg com",0.98,86575,"carvedilol 12,5 mg com",0.88,86575,"carvedilol 12,5 mg com",0.98,86575,"carvedilol 12,5 mg com",0.9543869503961886,86575,"carvedilol 12,5 mg com",1.0,0.9588773900792378,1.0,0.04697128128091642,spacy,86575,"carvedilol 12,5 mg com"
"APIXABANA (5MG COMPRIMIDO REV)
",APIXABANA,3,"['NATCOFARMA', 'ZYDUS']",111917,apixabana 5 mg com rev,0.98,111917,apixabana 5 mg com rev,0.88,111917,apixabana 5 mg com rev,0.98,111917,apixabana 5 mg com rev,0.9542311643110576,87396,axitinibe 5 mg com rev inlyta,1.0,0.9588462328622114,1.0,0.046975056072784016,spacy,87396,axitinibe 5 mg com rev inlyta
NIMESULIDA (100MG COMPRIMIDO),NIMESULIDA,2,"['EMS', 'NEO QUIMICA']",87031,nimesulida 100 mg com,0.98,87031,nimesulida 100 mg com,0.88,87031,nimesulida 100 mg com,0.98,87031,nimesulida 100 mg com,0.9371863689455477,86788,fenobarbital 100 mg com,1.0,0.9554372737891095,1.0,0.048000961994294794,spacy,86788,fenobarbital 100 mg com
ARIPIPRAZOL (10MG COMPRIMIDO),ARIPIPRAZOL,6,"['FQM', 'LABORATORIO GLOBO', 'ZYDUS']",86486,aripiprazol 10 mg com,0.98,86486,aripiprazol 10 mg com,0.88,86486,aripiprazol 10 mg com,0.98,86486,aripiprazol 10 mg com,0.9362310848845893,86502,baclofeno 10 mg com,1.0000001192092896,0.9552462408187757,1.0000001192092896,0.04809360594391838,spacy,86502,baclofeno 10 mg com
DOMPERIDONA (10MG COMPRIMIDO),DOMPERIDONA,1,['EMS'],86729,domperidona 10 mg com,0.98,86729,domperidona 10 mg com,0.88,86729,domperidona 10 mg com,0.98,86729,domperidona 10 mg com,0.9318445438809021,86962,metadona 10 mg com,1.0,0.9543689087761804,1.0,0.048564863243448844,spacy,86962,metadona 10 mg com
ISOSSORBIDA (10MG/ML SOLUCAO INJETAVEL 1ML),MONONITRATO DE ISOSSORBIDA,1,['BIOLAB'],92960,isossorbida 10mg/ml 1ml,1.0,92960,isossorbida 10mg/ml 1ml,0.85,92960,isossorbida 10mg/ml 1ml,0.95,92960,isossorbida 10mg/ml 1ml,0.9726867132814189,115780,propofol 10mg/ml sol inj amp 20ml,0.9915848970413208,0.9528543220645478,1.0,0.06062848927940094,fuzz_token_set,92960,isossorbida 10mg/ml 1ml
"CARVEDILOL (6,25MG COMPRIMIDO)",CARVEDILOL,2,['EMS'],86578,"carvedilol 6,25 mg com",0.98,86578,"carvedilol 6,25 mg com",0.88,86578,"carvedilol 6,25 mg com",0.98,86578,"carvedilol 6,25 mg com",0.9122708940912144,86578,"carvedilol 6,25 mg com",1.0,0.9504541788182429,1.0,0.05153264509192609,spacy,86578,"carvedilol 6,25 mg com"
"SULFAMETOXAZOL+TRIMETOPRIMA (800+160MG COMPRIMIDO
",SULFAMETOXAZOL+TRIMETOPRIMA,3,"['BELFAR', 'FQM']",87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com,0.99,87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com,0.91,87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com,0.95,87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com,0.9257204456099399,86408,aciclovir 200 mg com,0.9757442474365234,0.9502929386092926,0.99,0.03336103255412201,fuzz_token_set,87207,sulfametoxazol + trimetoprima 800 mg + 160 mg com
NIFEDIPINO (10MG COMPRIMIDO) ,NIFEDIPINO,3,['NEO QUIMICA'],87026,nifedipino 10 mg com,0.97,87026,nifedipino 10 mg com,0.87,87026,nifedipino 10 mg com,0.97,87026,nifedipino 10 mg com,0.9366592126144444,106816,everolimo 10 mg com ,1.0,0.9493318425228889,1.0,0.04968839008258242,spacy,106816,everolimo 10 mg com 
HIDROXIZINA (25MG COMPRIMIDO),HIDROXIZINA,3,"['EMS', 'GERMED']",86866,hidroxizina 25 mg com,0.98,86866,hidroxizina 25 mg com,0.88,86866,hidroxizina 25 mg com,0.98,86866,hidroxizina 25 mg com,0.9031133053420463,86866,hidroxizina 25 mg com,1.0,0.9486226610684092,1.0,0.05335934038030691,spacy,86866,hidroxizina 25 mg com
DEXAMETASONA (4MG COMPRIMIDO) ,DEXAMETASONA,2,['EMS'],86693,dexametasona 4 mg com,0.98,86693,dexametasona 4 mg com,0.88,86693,dexametasona 4 mg com,0.98,86693,dexametasona 4 mg com,0.9026074967956802,86693,dexametasona 4 mg com,1.0,0.948521499359136,1.0,0.0534675591813538,spacy,86693,dexametasona 4 mg com
BROMOPRIDA (10MG COMPRIMIDO),BROMOPRIDA,5,"['EMS', 'GERMED', 'LEGRAND', 'PRATI DONADUZZI']",86535,bromoprida 10 mg com,0.97,86535,bromoprida 10 mg com,0.87,86535,bromoprida 10 mg com,0.97,86535,bromoprida 10 mg com,0.9288888871753154,86535,bromoprida 10 mg com,1.0,0.947777777435063,1.0,0.050301559913823714,spacy,86535,bromoprida 10 mg com
LORATADINA (10MG COMPRIMIDO),LORATADINA,2,['EMS'],86937,loratadina 10 mg com,0.97,86937,loratadina 10 mg com,0.87,86937,loratadina 10 mg com,0.97,86937,loratadina 10 mg com,0.9208730842289886,86962,metadona 10 mg com,1.0,0.9461746168457976,1.0,0.05117423531658612,spacy,86962,metadona 10 mg com
"TIAMAZOL (5MG COMPRIMIDO)
",TIAMAZOL,1,['BIOLAB'],86976,tiamazol 5 mg com,0.97,86976,tiamazol 5 mg com,0.85,86976,tiamazol 5 mg com,0.97,86976,tiamazol 5 mg com,0.9398204811983053,86781,everolimo 5 mg com afinitor ,1.0000001192092896,0.945964120081519,1.0000001192092896,0.05771090211215562,spacy,86781,everolimo 5 mg com afinitor 
LOPERAMIDA (2MG COMPRIMIDO),LOPERAMIDA,3,"['LABORATORIO GLOBO', 'NEO QUIMICA', 'SANDOZ']",86935,loperamida 2 mg com,0.97,86935,loperamida 2 mg com,0.86,86935,loperamida 2 mg com,0.97,86935,loperamida 2 mg com,0.9286792041710433,86935,loperamida 2 mg com,1.0,0.9457358408342087,1.0,0.05423020622269485,spacy,86935,loperamida 2 mg com
EVEROLIMO (10MG COMPRIMIDO),EVEROLIMO,5,"['DR REDDYS', 'NATCOFARMA', 'NOVARTIS']",106816,everolimo 10 mg com ,0.97,106816,everolimo 10 mg com ,0.86,106816,everolimo 10 mg com ,0.97,106816,everolimo 10 mg com ,0.9256432728188138,106816,everolimo 10 mg com ,1.0,0.9451286545637627,1.0,0.05448531941537782,spacy,106816,everolimo 10 mg com 
CAPTOPRIL (50MG COMPRIMIDO),CAPTOPRIL,3,"['EMS', 'LABORATORIO GLOBO']",86563,captopril 50 mg com,0.97,86563,captopril 50 mg com,0.86,86563,captopril 50 mg com,0.97,86563,captopril 50 mg com,0.9218743592865964,86563,captopril 50 mg com,1.0,0.9443748718573193,1.0,0.05484715428450133,spacy,86563,captopril 50 mg com
FUROSEMIDA (40MG COMPRIMIDO),FUROSEMIDA,3,"['NEO QUIMICA', 'PRATI DONADUZZI']",83675,furosemida 40 mg com,0.97,83675,furosemida 40 mg com,0.87,83675,furosemida 40 mg com,0.97,83675,furosemida 40 mg com,0.9111248989287678,83675,furosemida 40 mg com,1.0,0.9442249797857535,1.0,0.052546453712224335,spacy,83675,furosemida 40 mg com
CARVEDILOL (25MG COMPRIMIDO),CARVEDILOL,2,['EMS'],86576,carvedilol 25 mg com,0.97,86576,carvedilol 25 mg com,0.87,86576,carvedilol 25 mg com,0.97,86576,carvedilol 25 mg com,0.9103611595379466,86576,carvedilol 25 mg com,1.0,0.9440722319075892,1.0,0.05266769764378615,spacy,86576,carvedilol 25 mg com
BROMOPRIDA (5MG/ML SOL INJ IM/IV AMPOLA 2ML),BROMOPRIDA,3,"['FRESENIUS', 'HIPOLABOR']",86537,bromoprida 5 mg/ml sol inj im/iv amp 2 ml,0.96,86537,bromoprida 5 mg/ml sol inj im/iv amp 2 ml,0.88,86537,bromoprida 5 mg/ml sol inj im/iv amp 2 ml,0.98,86537,bromoprida 5 mg/ml sol inj im/iv amp 2 ml,0.9123792003863177,86789,fenobarbital 100 mg/ml sol inj im/iv amp 2 ml,0.9851669669151306,0.9435092334602896,0.9851669669151306,0.04566560487450487,spacy,86789,fenobarbital 100 mg/ml sol inj im/iv amp 2 ml
CARVEDILOL (3.125MG COMPRIMIDO),CARVEDILOL,2,"['EMS', 'ZYDUS']",86577,"carvedilol 3,125 mg com",0.98,86577,"carvedilol 3,125 mg com",0.89,86577,"carvedilol 3,125 mg com",0.98,86577,"carvedilol 3,125 mg com",0.8666623000318031,86577,"carvedilol 3,125 mg com",1.0,0.9433324600063606,1.0,0.06046257476355786,spacy,86577,"carvedilol 3,125 mg com"
ATENOLOL (50MG COMPRIMIDO),ATENOLOL,4,"['EMS', 'PRATI DONADUZZI', 'SANDOZ']",86489,atenolol 50 mg com,0.97,86489,atenolol 50 mg com,0.86,86489,atenolol 50 mg com,0.97,86489,atenolol 50 mg com,0.9095690857154215,86489,atenolol 50 mg com,1.0,0.9419138171430843,1.0,0.05636427739248847,spacy,86489,atenolol 50 mg com
DIFENIDRAMINA (50MG/ML SOLUCAO INJETAVEL AMPOLA 1ML),DIFENIDRAMINA,1,['CRISTALIA'],86712,difenidramina 50 mg/ml sol inj amp 1 ml,0.96,86712,difenidramina 50 mg/ml sol inj amp 1 ml,0.87,86712,difenidramina 50 mg/ml sol inj amp 1 ml,0.97,86712,difenidramina 50 mg/ml sol inj amp 1 ml,0.911319423867687,83676,gentamicina 40 mg/ml sol inj amp 2ml,0.9918150305747986,0.9406268908884972,0.9918150305747986,0.04925801427133027,spacy,83676,gentamicina 40 mg/ml sol inj amp 2ml
SIMETICONA (40MG COMPRIMIDO),SIMETICONA,4,"['ALTEFAR', 'EMS', 'PHARMASCIENCE ']",87184,simeticona 40 mg com,0.97,87184,simeticona 40 mg com,0.87,87184,simeticona 40 mg com,0.97,87184,simeticona 40 mg com,0.8891112220304592,87184,simeticona 40 mg com,1.0,0.9398222444060916,1.0,0.05676598836005894,spacy,87184,simeticona 40 mg com
VALSARTANA  (160MG COMPRIMIDO REV) ,VALSARTANA,1,['BRAINFARMA'],87289,valsartana 160 mg com rev,0.98,87289,valsartana 160 mg com rev,0.9,87289,valsartana 160 mg com rev,0.98,87289,valsartana 160 mg com rev,0.8374766016315736,87289,valsartana 160 mg com rev,1.0,0.9394953203263146,1.0,0.06875640643813838,spacy,87289,valsartana 160 mg com rev
CAPTOPRIL (25MG COMPRIMIDO),CAPTOPRIL,4,"['EMS', 'GERMED', 'LABORATORIO GLOBO']",86562,captopril 25 mg com,0.97,86562,captopril 25 mg com,0.86,86562,captopril 25 mg com,0.97,86562,captopril 25 mg com,0.8948189337716365,86562,captopril 25 mg com,1.0,0.9389637867543271,1.0,0.05881317891442196,spacy,86562,captopril 25 mg com
HIDRALAZINA (20MG/ML SOLUCAO INJETAVEL IM/IV AMPOLA 1ML),HIDRALAZINA,1,['CRISTALIA'],86615,hidralazina 20 mg/ml sol inj im/iv amp 1 ml,0.96,86615,hidralazina 20 mg/ml sol inj im/iv amp 1 ml,0.88,86615,hidralazina 20 mg/ml sol inj im/iv amp 1 ml,0.98,86615,hidralazina 20 mg/ml sol inj im/iv amp 1 ml,0.8874513096415261,86615,hidralazina 20 mg/ml sol inj im/iv amp 1 ml,0.9810936450958252,0.9377089909474702,0.9810936450958252,0.05005948689623811,spacy,86615,hidralazina 20 mg/ml sol inj im/iv amp 1 ml
ATENOLOL (25MG COMPRIMIDO),ATENOLOL,4,"['EMS', 'PRATI DONADUZZI', 'SANDOZ']",86488,atenolol 25 mg com,0.97,86488,atenolol 25 mg com,0.86,86488,atenolol 25 mg com,0.97,86488,atenolol 25 mg com,0.8789830864201745,86488,atenolol 25 mg com,1.0,0.935796617284035,1.0,0.0621182775266739,spacy,86488,atenolol 25 mg com
"CLONAZEPAM (0,25MG COMPRIMIDO) ",CLONAZEPAM,1,['BIOPAS'],86635,"clonazepam 0,5 mg com",0.95,86635,"clonazepam 0,5 mg com",0.86,86635,"clonazepam 0,5 mg com",0.95,86635,"clonazepam 0,5 mg com",0.9073057303098688,86453,"alprazolam 0,25 mg com",1.0,0.9334611460619737,1.0,0.052571694419280474,spacy,86453,"alprazolam 0,25 mg com"
PALBOCICLIBE (75MG CAP DURA),PALBOCICLIBE,1,['DR REDDYS'],103669,palbociclibe 75mg cap dura ibrance,1.0,103669,palbociclibe 75mg cap dura ibrance,0.87,103669,palbociclibe 75mg cap dura ibrance,0.95,103669,palbociclibe 75mg cap dura ibrance,0.8468377897961787,103669,palbociclibe 75mg cap dura ibrance,1.0,0.9333675579592358,1.0,0.0718666316396916,fuzz_token_set,103669,palbociclibe 75mg cap dura ibrance
CEFALEXINA MONOIDRATADA (500MG COMPRIMIDO),CEFALEXINA MONOIDRATADA,1,['EMS'],86581,cefalexina monoidratada 500 mg com rev,0.93,86581,cefalexina monoidratada 500 mg com rev,0.87,86581,cefalexina monoidratada 500 mg com rev,0.93,86581,cefalexina monoidratada 500 mg com rev,0.9303738204046847,87100,paracetamol 500 mg com,0.9760802984237671,0.9272908237656903,0.9760802984237671,0.0377055548466524,spacy,87100,paracetamol 500 mg com
ROSUVASTATINA CALCICA ( 10MG COMPRIMIDO),ROSUVASTATINA CALCICA,5,"['ACCORD', 'EMS', 'FQM', 'PHARLAB', 'SANDOZ']",87171,rosuvastatina cálcica 10 mg com rev,0.92,87171,rosuvastatina cálcica 10 mg com rev,0.86,87171,rosuvastatina cálcica 10 mg com rev,0.92,87171,rosuvastatina cálcica 10 mg com rev,0.9400377981390791,106816,everolimo 10 mg com ,0.9905428886413574,0.9261161373560874,0.9905428886413574,0.04687957127400165,spacy,106816,everolimo 10 mg com 
ROSUVASTATINA CALCICA ( 20MG COMPRIMIDO),ROSUVASTATINA CALCICA,5,"['ACCORD', 'EMS', 'FQM', 'SANDOZ']",87172,rosuvastatina cálcica 20 mg com rev,0.92,87172,rosuvastatina cálcica 20 mg com rev,0.86,87172,rosuvastatina cálcica 20 mg com rev,0.92,87172,rosuvastatina cálcica 20 mg com rev,0.9351300089673968,87027,nifedipino 20 mg com,0.9907737970352173,0.9251807612005228,0.9907737970352173,0.046646666775482,spacy,87027,nifedipino 20 mg com
LOSARTANA POTASSICA (50MG COMPRIMIDO),LOSARTANA POTASSICA,3,"['EMS', 'NEO QUIMICA']",86941,losartana potássica 50 mg com rev,0.92,86941,losartana potássica 50 mg com rev,0.85,86941,losartana potássica 50 mg com rev,0.92,86941,losartana potássica 50 mg com rev,0.9337796630881469,86563,captopril 50 mg com,1.0,0.9247559326176293,1.0,0.053331005614711796,spacy,86563,captopril 50 mg com
ESPIRONOLACTONA (100MG COMPRIMIDO),ESPIRONOLACTONA,1,['EMS'],86775,espironolactona 50 mg com,0.92,86775,espironolactona 50 mg com,0.84,86775,espironolactona 50 mg com,0.92,86775,espironolactona 50 mg com,0.9431321220644656,86918,levotiroxina sodica 100 mcg com,0.9999999403953552,0.9246264124919641,0.9999999403953552,0.05750666716072302,spacy,86918,levotiroxina sodica 100 mcg com
MONONITRATO DE ISOSSORBIDA (40MG COMPRIMIDO),MONONITRATO DE ISOSSORBIDA,1,['ZYDUS'],86883,"isossorbida, mononitrato 40 mg com",0.94,86883,"isossorbida, mononitrato 40 mg com",0.88,86883,"isossorbida, mononitrato 40 mg com",0.89,86883,"isossorbida, mononitrato 40 mg com",0.9462475373607712,92880,mesilato de osimertinibe 40 mg com rev tagrisso,0.9639930129051208,0.9240481100531784,0.9639930129051208,0.03688625227290645,spacy,92880,mesilato de osimertinibe 40 mg com rev tagrisso
SACUBITRIL + VALSARTANA (50MG COMPRIMIDO REV) ,SACUBITRIL VALSARTANA SODICA HIDRATADA,1,['NOVARTIS'],111930,sacubitril valsartana 49+51 mg com rev,0.92,111930,sacubitril valsartana 49+51 mg com rev,0.86,111930,sacubitril valsartana 49+51 mg com rev,0.92,111929, sacubitril valsartana 24+26 mg com rev,0.9176414652536845,87213,sumatriptana 50 mg com rev,0.9999999403953552,0.9235282811298081,0.9999999403953552,0.049858071840864375,spacy,87213,sumatriptana 50 mg com rev
EVEROLIMO (1MG COMPRIMIDO) ,EVEROLIMO,1,['NOVARTIS'],106816,everolimo 10 mg com ,0.94,106816,everolimo 10 mg com ,0.83,106816,everolimo 10 mg com ,0.94,106816,everolimo 10 mg com ,0.9119561206384722,100378,lorazepam 1 mg com,0.9868863224983215,0.9217684886273588,0.9868863224983215,0.05792850415038956,spacy,100378,lorazepam 1 mg com
CLORIDRATO DE DOXICICLINA (100MG COMPRIMIDO),CLORIDRATO DE DOXICICLINA,2,"['PHARLAB', 'SANDOZ']",86651,"doxiciclina, cloridrato de 100 mg com rev",0.93,86651,"doxiciclina, cloridrato de 100 mg com rev",0.88,86651,"doxiciclina, cloridrato de 100 mg com rev",0.89,86651,"doxiciclina, cloridrato de 100 mg com rev",0.9253617167156396,86651,"doxiciclina, cloridrato de 100 mg com rev",0.9790476560592651,0.9208818745549809,0.9790476560592651,0.03908799425200283,spacy,86651,"doxiciclina, cloridrato de 100 mg com rev"
SULFAMETOXAZOL+TRIMETOPRIMA (80MG/ML + 16MG/ML SOLUCAO INJETAVEL IV AMPOLA 5ML),SULFAMETOXAZOL+TRIMETOPRIMA,1,['HYPERA'],87206,sulfametoxazol 80 mg/ml + trimetoprima 16 mg/ml sol inj iv amp 5 ml,0.96,87206,sulfametoxazol 80 mg/ml + trimetoprima 16 mg/ml sol inj iv amp 5 ml,0.88,87206,sulfametoxazol 80 mg/ml + trimetoprima 16 mg/ml sol inj iv amp 5 ml,0.91,87206,sulfametoxazol 80 mg/ml + trimetoprima 16 mg/ml sol inj iv amp 5 ml,0.8637980472618506,87206,sulfametoxazol 80 mg/ml + trimetoprima 16 mg/ml sol inj iv amp 5 ml,0.9902558922767639,0.9208107879077229,0.9902558922767639,0.05336492997753506,spacy,87206,sulfametoxazol 80 mg/ml + trimetoprima 16 mg/ml sol inj iv amp 5 ml
CLORIDRATO DE CLOMIPRAMINA (25MG COMPRIMIDO),CLORIDRATO DE CLORPROMAZINA,1,['CRISTALIA'],86633,"clomipramina, cloridrato 25 mg com rev",0.94,86633,"clomipramina, cloridrato 25 mg com rev",0.89,86633,"clomipramina, cloridrato 25 mg com rev",0.9,86633,"clomipramina, cloridrato 25 mg com rev",0.9069615076334611,86825,fosfato de ruxolitinibe 20 mg com jakavi,0.963721513748169,0.9201366042763259,0.963721513748169,0.030746868718546216,spacy,86825,fosfato de ruxolitinibe 20 mg com jakavi
ESILATO DE NINTEDANIBE (150MG CAP MOLE),ESILATO DE NINTEDANIBE,1,['SUN PHARMA'],86771,esilato de nintedanibe 150 mg cap mole ofev,0.92,86771,esilato de nintedanibe 150 mg cap mole ofev,0.88,86771,esilato de nintedanibe 150 mg cap mole ofev,0.92,86771,esilato de nintedanibe 150 mg cap mole ofev,0.8667382590651745,86771,esilato de nintedanibe 150 mg cap mole ofev,0.9999999403953552,0.9173476398921061,0.9999999403953552,0.051965441497112075,spacy,86771,esilato de nintedanibe 150 mg cap mole ofev
"AZTREONAM (1,0G PO LIOF INJ IV/IM FA)",AZTREONAM,2,['BIOCHIMICO'],86501,aztreonam 1 g po liof inj fa,0.96,86501,aztreonam 1 g po liof inj fa,0.86,86501,aztreonam 1 g po liof inj fa,0.91,86501,aztreonam 1 g po liof inj fa,0.9213160498690146,83653,ceftriaxona sodica 1 g iv/im po liof inj fa,0.9299188256263733,0.9162469750990777,0.96,0.036502359887853185,fuzz_token_set,86501,aztreonam 1 g po liof inj fa
PREGABALINA (150MG CAP DURA) C1,PREGABALINA,3,"['FQM', 'LABORATORIO GLOBO']",86853,pregabalina 150 mg cap dura,0.93,86853,pregabalina 150 mg cap dura,0.86,86853,pregabalina 150 mg cap dura,0.93,86853,pregabalina 150 mg cap dura,0.8981056040107894,86853,pregabalina 150 mg cap dura,0.9603107571601868,0.9156832722341953,0.9603107571601868,0.03811545298674661,spacy,86853,pregabalina 150 mg cap dura
EXEMESTANO (25MG COMPRIMIDO),EXEMESTANO,4,"['ACCORD', 'EUROFARMA ONCO', 'SUN PHARMA']",108057,exemestano 25mg com rev proexty,1.0,87389,exemestano 25 mg com rev ,0.79,108057,exemestano 25mg com rev proexty,0.9,87389,exemestano 25 mg com rev ,0.8940762880879848,86899,lamotrigina 25 mg com,0.9916927814483643,0.9151538139072699,1.0,0.08572407210473791,fuzz_token_set,108057,exemestano 25mg com rev proexty
PAMIDRONATO DISSODICO (90MG PO LIOF SOL INJ IV FA + AMP DIL 10 ML),PAMIDRONATO DISSODICO,1,['CRISTALIA ONCO'],87089,pamidronato dissódico 9 mg/ml po liof inj fa + amp dil 10 ml,0.95,87089,pamidronato dissódico 9 mg/ml po liof inj fa + amp dil 10 ml,0.87,87089,pamidronato dissódico 9 mg/ml po liof inj fa + amp dil 10 ml,0.9,87089,pamidronato dissódico 9 mg/ml po liof inj fa + amp dil 10 ml,0.9024921646011175,101571,rituximabe 10 mg/ ml sol inj iv fa 50 ml riximyo ,0.9440382122993469,0.9133060753800928,0.95,0.03339280168246534,fuzz_token_set,87089,pamidronato dissódico 9 mg/ml po liof inj fa + amp dil 10 ml
MORFINA (1 MG/ML SOLUCAO INJETAVEL 2 ML) A1,MORFINA,1,['CRISTALIA'],87005,morfina 1 mg/ml sol inj amp 2 ml embalagem esteril,0.94,87007,morfina 10 mg/ml sol inj amp 1 ml,0.91,87281,ustequinumabe 90 mg sol inj ser preenc 1 ml stelara,0.86,87007,morfina 10 mg/ml sol inj amp 1 ml,0.8605772272043468,86695,"dexametasona, fosfato dissodico 2 mg/ml sol inj amp 1 ml",0.9867186546325684,0.911459176367383,0.9867186546325684,0.054124200828017804,spacy,86695,"dexametasona, fosfato dissodico 2 mg/ml sol inj amp 1 ml"
PREGABALINA (75MG CAP DURA) C1,PREGABALINA,3,"['FQM', 'LABORATORIO GLOBO', 'PHARLAB']",86854,pregabalina 75 mg cap dura,0.93,86854,pregabalina 75 mg cap dura,0.85,86854,pregabalina 75 mg cap dura,0.93,86854,pregabalina 75 mg cap dura,0.8814736089124365,86854,pregabalina 75 mg cap dura,0.9625129699707031,0.9107973157766279,0.9625129699707031,0.04463235497199956,spacy,86854,pregabalina 75 mg cap dura
RISPERIDONA (1MG COMPRIMIDO REV) C1,RISPERIDONA,3,"['ACCORD', 'CRISTALIA', 'GEOLAB']",87159,risperidona 1 mg com rev,0.92,87159,risperidona 1 mg com rev,0.84,87159,risperidona 1 mg com rev,0.92,87159,risperidona 1 mg com rev,0.9011468707785479,87159,risperidona 1 mg com rev,0.9704327583312988,0.9103159258219694,0.9704327583312988,0.046984032210198735,spacy,87159,risperidona 1 mg com rev
SACUBITRIL + VALSARTANA (200MG COMPRIMIDO REV) ,SACUBITRIL VALSARTANA SODICA HIDRATADA,1,['NOVARTIS'],111930,sacubitril valsartana 49+51 mg com rev,0.91,111929, sacubitril valsartana 24+26 mg com rev,0.85,111929, sacubitril valsartana 24+26 mg com rev,0.9,111929, sacubitril valsartana 24+26 mg com rev,0.902146164710067,87289,valsartana 160 mg com rev,0.9882263541221619,0.9100745037664458,0.9882263541221619,0.04970165352870867,spacy,87289,valsartana 160 mg com rev
