linha_produto,principio_ativo,n_skus,marcas,cod_item_fuzz_token_set,desc_fuzz_token_set,fuzz_token_set,cod_item_fuzz_token_sort,desc_fuzz_token_sort,fuzz_token_sort,cod_item_fuzz_wratio,desc_fuzz_wratio,fuzz_wratio,cod_item_tfidf,desc_tfidf,tfidf,cod_item_spacy,desc_spacy,spacy,score_mean,score_max,score_std,best_method,best_cod_item,best_desc_global
MELFALANA (2MG COMPRIMIDO),MELFALANA,1,['ASPEN PHARMA'],87051,"olanzapina 2,5 mg com",0.68,113040,metilcobalamina 50mg/2ml,0.63,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,92968,bio zinc kids 2mg/0.5ml 75ml,0.088102796475069,86524,biperideno 2 mg com,1.0,0.6516205592950138,1.0,0.34771228633275036,spacy,86524,biperideno 2 mg com
BENZOATO DE ALOGLIPTINA,BENZOATO DE ALOGLIPTINA,1,['COSMED'],87215,supositorio de glicerina adulto,0.59,84156,bateria 9v alcalina,0.52,86959,mesilato de osimertinibe 80 mg com rev tagrisso,0.86,86933,linagliptina 5 mg com rev,0.3349095275906205,87195,sorbitol + laurilsulfato de sodio (minilax),0.9524657130241394,0.651475048122952,0.9524657130241394,0.2526641221679197,spacy,87195,sorbitol + laurilsulfato de sodio (minilax)
CLORIDRATO DE IRINOTECANO  (20MG/ML INJ 40MG/2ML),CLORIDRATO DE IRINOTECANO TRI-HIDRATADO,1,['BERGAMO'],86704,"escetamina, cloridrato de 50 mg/ml sol inj amp 2 ml im/ev (ketamin)",0.62,86865,"hidroxizina, cloridrato de 2 mg/ml sol or fr 120 ml",0.58,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,86865,"hidroxizina, cloridrato de 2 mg/ml sol or fr 120 ml",0.22112029514966125,113040,metilcobalamina 50mg/2ml,0.9759576916694641,0.651415597363825,0.9759576916694641,0.2915802627114517,spacy,113040,metilcobalamina 50mg/2ml
"PACLITAXEL (6MG/ML SOL INJ IV FRASCO AMPOLA 16,7ML)",PACLITAXEL,8,"['ACCORD', 'BERGAMO', 'BLAU', 'CAMBER', 'EUROFARMA ONCO', 'FARMARIN ONCO']",106331,etilefrina 10mg/ml sol inj amp 1ml,0.67,113736,propofol 10mg/ml sol inj fa 20ml,0.66,86318,ceftazidima + avibactam 2000 mg + 500 mg po liof inj fa (torgena),0.86,86649,"cloreto de sodio 0,9% (9 mg/ml) sol inj iv amp 10 ml",0.11322017982848126,86727,"dobutamina 12,5 mg/ml sol inj iv amp 20 ml",0.9520431160926819,0.6510526591842326,0.9520431160926819,0.32555993260287525,spacy,86727,"dobutamina 12,5 mg/ml sol inj iv amp 20 ml"
"TRAVOPROSTA LIQUIDO (0,04MG/ML SOL OFT 2,5 ML) OFTALMICO ",TRAVOPROSTA,3,"['EMS', 'LEGRAND OFTA']",87220,systane sol oft gt 10 ml,0.59,111299,ciclolato 10mg/ml solução oftálmica estéril 5ml,0.55,87396,axitinibe 5 mg com rev inlyta,0.86,87193,solucao oftalmica optive 15 ml,0.2829288923297001,86684,"deslanosideo 0,2 mg/ml sol inj amp 2 ml",0.9719540476799011,0.6509765880019203,0.9719540476799011,0.2720711479940245,spacy,86684,"deslanosideo 0,2 mg/ml sol inj amp 2 ml"
FOSFATO DE OSELTAMIVIR SOLIDO (75MG COMPRIMIDO),FOSFATO DE OSELTAMIVIR,2,['NATCOFARMA'],86826,fosfato de ruxolitinibe 5 mg com jakavi,0.62,86826,fosfato de ruxolitinibe 5 mg com jakavi,0.62,92737,indicador de limpeza atp,0.86,86850,"prednisolona, fosfato sodico 3 mg/ml sol or fr 120 ml",0.21545982217485385,100370,"cianocobalamina 5000mcg, cloridrato de piridoxina 100mg, nitrato de tiamina 100mg com rev",0.9381138682365417,0.6507147380822792,0.9381138682365417,0.2818387007500486,spacy,100370,"cianocobalamina 5000mcg, cloridrato de piridoxina 100mg, nitrato de tiamina 100mg com rev"
METOTREXATO (25MG/ML SOL INJ/DIL INFUS IV/IM/IT FA 2ML),METOTREXATO,1,['ACCORD'],87279,ustequinumabe 130 mg/26 ml sol inj infus iv fa 26 ml stelara,0.62,86709,diclofenaco 25 mg/ml sol inj im amp 3 ml,0.58,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,112383,guselcumabe 200 mg sol dil infus fa 20 ml - tremfya,0.24074784333346907,87201,sugamadex sodico 100 mg/ml sol inj iv fa 2 ml,0.9523926973342896,0.6506281081335518,0.9523926973342896,0.2778608907970753,spacy,87201,sugamadex sodico 100 mg/ml sol inj iv fa 2 ml
TACROLIMO SOLIDO ( 1MG CAP),TACROLIMO MONOIDRATADO,4,"['CAMBER', 'EMS']",87284,valproato de sodio 250 mg cap mole,0.55,92932,prucaloprida 2mg resolor ,0.54,86771,esilato de nintedanibe 150 mg cap mole ofev,0.86,115315,everolimo 5 mg,0.3704132020031992,86479,anastrozol 1 mg com rev,0.9304144978523254,0.6501655399711049,0.9304144978523254,0.23611487204455456,spacy,86479,anastrozol 1 mg com rev
FIXADOR ESTERIL,PRODUTOS PARA SAUDE,1,['3M'],87786,compressa cirurgica esteril 25cm x 28cm (pct c/ 05 und) ,0.64,87742,sugador descartavel,0.59,87786,compressa cirurgica esteril 25cm x 28cm (pct c/ 05 und) ,0.86,108872,fixador de canula de traqueostomia adulto,0.4574248425294077,87742,sugador descartavel,0.7030706405639648,0.6500990966186745,0.86,0.14807230924787543,fuzz_wratio,87786,compressa cirurgica esteril 25cm x 28cm (pct c/ 05 und) 
EXTENSOR CATETER INF 12FRX40CM LROTAT,PRODUTOS PARA SAUDE,1,['MEDSONDA'],88036,cateter triplo lumen hd 12fr x 20cm ,0.61,88036,cateter triplo lumen hd 12fr x 20cm ,0.61,87891,cateter intravenoso c/ dispositivo segurança 24g jelco  ref. 4251601-04,0.86,87525,extensao p/ equipo extensofix 120cm ref. 443120,0.2554349761463145,101367,cateter arterial radial 22gx5cm,0.9145544171333313,0.6499978786559292,0.9145544171333313,0.2612329409028059,spacy,101367,cateter arterial radial 22gx5cm
SOMATROPINA INJETAVEL (12UI PO LIOF INJ C/DIL 2ML) C5,SOMATROPINA,1,['BERGAMO'],83646,ampicilina sodica 1 g po liof inj fa,0.6,83646,ampicilina sodica 1 g po liof inj fa,0.57,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp",0.86,86494,"atropina 0,25 mg/ml sol inj amp 1 ml",0.36361411932459237,87705,frasco p/ nutricao enteral 300ml esteril c/ lacre ,0.8545854091644287,0.6496399056978042,0.86,0.21028041632167815,fuzz_wratio,110403,"skyrizi 150 mg/ml sol inj carp plas trans x 2,4 ml + disp autoinj - risanquizumabe &#x2013 carp"
